KEY,CH,EN
70008,"我是法师，我擅长使用法杖，我能掌控元素，有强大的攻击能力！",""
70009,"我是牧师，擅长使用法杖，我可以起死回生，保证队伍的持续作战能力！",""
70010,"那就让我们看看他们的能力吧！",""
70011,"这个大陆上充斥着各种各样的宠物，他们能力不同。这些都是大陆上的佼佼者！",""
70012,"看吧，每种宠物都有他独特的能力和元素属性，好好利用他们能让你的战斗更加轻松。",""
familyGongxian,"家族贡献不足",""
zuzhangbaoming,"只有族长才能报名",""
jinchangjiazuzhan,"对阵家族：{n}\n30级以上成员可以进场战斗\n进场玩家必须为本家族成员\n活动开始5分钟后每次进场需要消耗300行动力\n进入家族24小时以上可以参加",""
duizhenjiazu,"对阵家族：{n}",""
dangqianxingdongli,"当前行动力：{n}",""
pvpzudui,"前方凶险，请组队前往",""
pvpzuduizanli,"队伍中有暂离队员，不能进场",""
EN_HasBattleTime,"对方正在准备，请稍后再挑战！",""
gongxihuode,"恭喜您获得",""
tuichujiazu,"退出家族后",""
zuduizhongduichang,"组队中,只有队长可挑战",""
likaiteam,"{n}离开了队伍",""
jiaruteam,"{n}加入了队伍",""
zailiteam,"{n},暂时离开了队伍",""
shijianmeidao,"时间未到",""
xingdongli,"行动力不足",""
bunenggongjibenjiazu,"不能攻击本家族成员",""
feibenjiazuchengyuan,"队伍中有不是本家族成员",""
zanliduiyuan,"队伍中有暂离的队员"
duifangbuzaichangjing,"对方不在当前场景",""
zhengzaizhandou,"对方正在战斗中",""
bunengzudui,"当前场景不能使用组队功能",""
familyLevel,"已满级",""
IST_PVP,"这个道具不能存入背包",""
EN_AddMoney2W,"恭喜您获得神秘宠物，请去宠物界面查看！",""
duizhangkeyi,"只有队长才能这么做",""
singlepkbox,"即将进入野外战场，战场中可以随意PK，是否进入？",""
teampkbox,"即将进入野外战场，战场中可以随意PK，是否进入？",""
EN_TeamIsRunning,"目标队伍正在战斗中，不能加入队伍",""
EN_NoBackTeam,"队伍正在副本中不能归队",""
zanliduizhan,"暂离队员不能提升队长",""
zhiyouduizhang,"只有队长才可以这么做",""
bunenggongji,"不能攻击队友",""
EN_HourLess24,"创建家族不足24小时，不能报名",""
EN_HourLess24_Join,"加入家族不足24小时，不能进场",""
EN_TeamMemberHourLess24,"家族战中不能对家族操作",""
EN_GuildBattleJoinSceneMoveValue,"家族贡献不足",""
beibaokongjianbuzu,"背包空间不足，请先清理背包",""
haoyoumax,"人数达到最大上限",""
EN_BlackCannotFriend,"在黑名单内不可添加为好友",""
magictupomax,"已到达到最大等级",""
magictupopropnum10,"每到达10级可突破，突破后神奇属性增加50%",""
magictupopropnum20,"每到达10级可突破，突破后神奇属性增加75%",""
magictupopropnum30,"每到达10级可突破，突破后神奇属性增加100%",""
EN_BlackCannotFriend,"在黑名单内不可添加为好友",""
wuciduiwu,"没有匹配合适队伍",""
lingqujiangli,"您领取了{n}",""
paySuccess,"支付成功！请等待服务器发放水晶",""
payFail,"支付失败",""
payCancel,"支付取消",""
payNetworkErr,"支付超时",""
payInfoIncomplete,"",""
payNowPlaying,"",""
EN_DailyNoNum,"今日日常日常任务次数已经用完",""
zuanshi,"钻石",""
jinbi,"金币",""
asset,"资源",""
cannotFind,"未找到，请更新后重试",""
yongbingzhixin,"用兵之心",""
zanweikaiqi,"暂未开启",""
duihuanchenggong,"兑换成功",""
EN_Idgenhas,"激活码已使用",""
EN_Gifthas,"领取过此包",""
EN_IdgenNull,"无效激活码",""
IsToDoJob,"是否就职成为",""
onlyOneJobQuest,"就职任务只能接一个",""
playerPro_Name,"名称",""
playerPro_Profession,"职业",""
playerPro_Race,"种族",""
playerPro_Family,"家族",""
playerPro_Experience,"经验",""
playerPro_Record,"ID",""
playerPro_Fighting,"称号",""
playerPro_Prestige,"声望",""
playerPro_Level,"等级",""
playerPro_Hp,"生命",""
playerPro_Mp,"魔法",""
playerPro_Land,"地",""
playerPro_Water,"水",""
playerPro_Fire,"火",""
playerPro_Wind,"风",""
playerPro_Stations,"站位",""
playerPro_Front,"前排",""
playerPro_BackRow,"后排",""
playerPro_State,"状态",""
playerPro_Por,"属性",""
playerPro_TitlePor,"人物属性",""
playerPro_Resistance,"抗性",""
playerPro_AntiDrunk,"抗酒醉",""
playerPro_AntiChaos,"抗混乱",""
playerPro_AntiForgotten,"抗遗忘",""
playerPro_AntiSleeping,"抗昏睡",""
playerPro_Antitoxic,"抗毒",""
playerPro_AntiPetrochemical,"抗石化",""
playerPro_Attack,"攻击",""
playerPro_Defense,"防御",""
playerPro_Agile,"敏捷",""
playerPro_Spirit,"精神",""
playerPro_Reply,"回复",""
playerPro_Kill,"必杀",""
playerPro_Hit,"命中",""
playerPro_FightBack,"反击",""
playerPro_Dodge,"闪避",""
playerPro_Surplus,"剩余点数",""
playerPro_Physical,"体力",""
playerPro_Power,"力量",""
playerPro_Strength,"强度",""
playerPro_Speed,"速度",""
playerPro_Magic,"魔法",""
playerPro_AKeyPlusPoint,"一键加点",""
playerPro_ConfirmAdd,"确定加点",""
SetPanel_Title,"设置",""
SetPanel_NickName,"玩家昵称",""
SetPanel_PlayerId,"玩家ID",""
SetPanel_Music,"音乐",""
SetPanel_Sound,"音效",""
SetPanel_Exit,"退出游戏",""
SetPanel_Exchange,"礼品兑换",""
SetPanel_Switching,"切换角色",""
SetPanel_version,"版本号",""
SetPanel_onlyFriend,"显示好友",
SetPanel_onlyTeam,"显示队员",
SetPanel_onlyGuilde,"显示家族成员",
SetPanel_staticLbl,"选择多项时会同时显示",
SetPanel_filterAll,"显示所有玩家",
SetPanel_zhuxiao,"注销",""
Team_Title,"邀请队员",""
Team_Friends,"好友",""
Team_Family,"家族",""
Team_Nearby,"附近",""
Team_Level,"等级",""
Team_Job,"职业",""
Team_Invite1,"邀请",""
Team_MainTitle,"队伍",""
Team_MyTeamName,"我的队伍",""
Team_TeamTarget,"队伍目标",""
Team_Prompt,"您尚未创建队伍",""
Team_Create,"创建队伍",""
Team_ETeam,"退出队伍",""
Team_Partner,"我的伙伴",""
Team_Convenient,"便捷组队",""
Team_Temporarily,"暂时离队",""
Team_BackTeam,"返回队伍",""
Team_Invite,"邀请入队",""
Team_Megaphone,"一键喊话",""
Team_On,"开启",""
Team_Off,"关闭",""
Team_Level1,"等级",""
Team_Name,"名字",""
TeamF_Title,"快捷组队",""
TeamF_Target,"目标选择",""
TeamF_Create,"创建队伍",""
TeamF_FastMatch,"快速匹配",""
TeamF_Tishi,"当前没有队伍",""
TeamF_FTeamName,"队伍名",""
TeamF_FTarget,"目标",""
TeamF_FTeamNum,"人数",""
TeamF_FLevel,"等级",""
TeamF_FJion,"加入",""
Guild_shenqing,"申请",""
Guild_Yshenqing,"已申请",""
Guild_chakan,"查看",""
Guild_BuyTitle,"快捷购买",""
Guild_gongxian,"家族贡献",""
Guild_Xiaohao,"消耗",""
Guild_DesBuy,"描述",""
Guild_GMBuy,"购买",""
wu,"无",""
Task_Title,"任务",""
Task_Target,"任务目标",""
Task_Receive,"领取地",""
Task_Complete,"完成地",""
Task_Prompt,"当前没有任务",""
Task_Description,"任务描述",""
Task_Abandon,"任务追踪",""
Task_Picked,"已接任务",""
Task_KeJie,"可接任务",""
Store_Title,"商城",""
Store_First,"首充",""
Store_Recharge,"充值",""
Store_Props,"道具",""
Store_VIP,"会员充值",""
Store_HaveReceived,"已领取",""
Store_Received,"领取",""
Store_Chongzhi,"充值",""
Store_Consume,"消耗",""
Store_Level,"等级",""
Store_Species,"种类",""
Store_Price,"价格",""
Store_Des,"描述",""
Store_Buy,"购买",""
forging_Title,"制造",""
forging_Prompt,"提示",""
forging_ProfessionEqu,"职业装备",""
forging_Arms,"武器",""
forging_Hat,"帽子",""
forging_Armor,"盔甲",""
forging_Shoe,"鞋子",""
Sign_Continuous,"连续签到奖励",""
Sign_SumDay,"月已连续签到",""
Sign_Day,"天",""
Sign_Receive,"领取",""
Sign_SignInDay,"签到",""
Sign_SignIn,"签到",""
Sign_Retroactive,"补签",""
Sign_Consumption,"补签消耗",""
Sign_Jiangli,"天奖励",""
WordMap,"世界地图",""
CurMap,"当前地图",""
Buy_Title,"快捷购买",""
Buy_Consumption,"消耗",""
Buy_Des,"描述",""
Buy_Buy,"购买",""
Baby_StrengthenLevel,"强化等级",""
Baby_GrowingUp,"成长值",""
Baby_DesOne,"成长值会影响宠物升级提升属性多少宠物等级越高效果越明显",""
Baby_DesTwo,"强化有概率失败，失败不会降低强化等级，强化等级越高，所需强化道具越多",""
Baby_Des,"宠物强化之魂",""
Baby_Strengthen,"强化",""
BabyHuanyuan_Des,"成长档影响宠物每次升级增加1级属性的数值，掉档越少的宠物成长越好",""
BabyHuanyuan_GrowingUp,"成长档",""
BabyHuanyuan_Physical,"体力",""
BabyHuanyuan_Power,"力量",""
BabyHuanyuan_Strength,"强度",""
BabyHuanyuan_Speed,"速度",""
BabyHuanyuan_Magic,"魔法",""
BabyHuanyuan_Reduction,"还原",""
NoBabyRecall,"没有可收回的宝宝!",""
Profession_Title,"职业任务",""
Profession_Mercenary,"佣兵",""
Profession_Locate,"定位",""
Profession_Skills,"推荐技能",""
Profession_AddBit,"推荐加点",""
Profession_Hunter,"猎人",""
Profession_Priest,"牧师",""
Profession_Master,"法师",""
Player_name,"输入角色名",""
Mesaage_Title,"提示",""
Mesaage_Enter,"确定",""
Mesaage_Canel,"取消",""
Message_TishiOne,"请输入礼品兑换码",""
Message_TiShiTwo,"同一种礼包只能兑换一次",""
Guild_Numbering,"家族编号",""
Guild_Level,"家族等级",""
Guild_Name,"家族名称",""
Guild_Leader,"家族长",""
Guild_Member,"成员数",""
Guild_Operating,"操作",""
Guild_look,"查看",""
Skill_Title,"技能学习",""
Skill_SkillDes,"技能描述",""
Skill_Consumption,"学习消耗",""
Skill_XLevel,"需要等级",""
Skill_ProudSkills,"得意技能",""
Skill_Profession,"职业技能",""
Skill_Attack,"攻击技能",""
Skill_MagicAttack,"攻击魔法",""
Skill_StateMagic,"状态魔法",""
Skill_SecondaryS,"辅助技能",""
Skill_Learning,"学习",""
ItemTips_Zhoanglei,"种类",""
ItemTips_Level,"等级",""
ItemTips_GetWay,"获取途径",""
huodong_Title,"活动",""
huodong_Limited,"限时活动",""
huodong_Daily,"日常活动",""
huodong_Upcoming,"即将开启",""
huodong_Active20,"20活跃",""
huodong_Active40,"40活跃",""
huodong_Active60,"60活跃",""
huodong_Active80,"80活跃",""
huodong_Active100,"100活跃",""
huodong_count,"次数",""
huodong_active,"活跃度",""
Guild_Gname,"家族名称",""
Guild_FamilyLeve,"家族等级",""
Gulid_FamilyNum,"家族编号",""
Guild_Familymem,"家族成员",""
Guild_Familyweihu,"维护费用",""
Guild_FamilyExp,"家族资金",""
Guild_FamilyGongxian,"个人贡献",""
Guild_FamilyGonggAO,"公告栏",""
Guild_FamilyGENGGA,"更改",""
Guild_MemNum,"成员列表",""
Guild_Process,"处理申请",""
Guild_FamilyStore,"家族商店",""
Guild_FamilyWelfare,"家族福利",""
Guild_FamilyWar,"家族战",""
Guild_FamilyOther,"回到家族",""
Guild_SignUp,"报名",""
Guild_Approach,"进场",""
Guild_PlayerName,"角色名称",""
Guild_PlayerLevel,"等级",""
Guild_PlayerPro,"职业",""
Guild_Playerzhiwei,"职位",""
Guild_Playergongxian,"贡献值",""
EN_AddGuildMoneyMax,"家族资金达到上限",""
familyAictive,"家族活动",""
Guild_PlayerTime,"在线时间",""
Guild_Accept,"接受",""
Guild_Refuse,"拒绝",""
Guild_STime,"申请时间",""
Guild_SCl,"处理申请",""
Guild_XiaoHao,"消耗",""
bagtitle,"背包",""
bagtabBtnBagLab,"背包",""
bagtabBtnXiaohaoLab,"消耗",""
bagtabBtnEquipLab,"装备",""
bagtabBtnDebrisLab,"碎片",""
bagsellLiftLab,"出售",""
bagsellRightLab,"出售",""
bagwarehouseLab,"银行",""
bagfixLab,"修理",""
bagsortLab,"整理",""
bagTipsSellBtnLab,"出售",""
bagTipsUseBtnLab,"全部使用",""
bagTipsCaiBtnLab,"拆分",""
bagTipsDemountBtnLab,"卸下",""
bagTipsFixBtnLab,"修理",""
bagTipsLevelLab,"等级",""
bagTipsTypeLab,"种类",""
bagTipsNaijuLab,"耐久",""
bagTipsGetWayLab,"获得途径",""
bagTipsGetWayTextLab,"耐久过低装备属性会下降",""
bagUseTitleLab,"使用目标",""
bagUseHpLab,"生命",""
bagUseMagicLab,"魔法",""
bagDebrisTitleLab,"碎片合成",""
bagDebrisOkBtnLab,"合成",""
bagDebrisCancelLab,"取消",""
BagSplitTitleLab,"拆分",""
BagSplitBtnLab,"拆分",""
tabBtnListLab,"列表",""
tabBtnPosLab,"上阵",""
tabBtnTavernLab,"酒馆",""
fireBtnLab,"解雇",""
buyBtnLab,"兑换",""
explainLab,"解雇伙伴会获得佣兵之心",""
empNumLab,"伙伴数量",""
buyBtnLab,"购买",""
employeeFightTextLab,"战斗力",""
team1Lab,"阵容1",""
team2Lab,"阵容2",""
levelopen5Lab,"5级开启",""
levelopen10Lab,"9级开启",""
levelopen15Lab,"12级开启",""
levelopen20Lab,"15级开启",""
pleaseClick5Lab,"请点击\n头像上阵",""
pleaseClick10Lab,"请点击\n头像上阵",""
pleaseClick15Lab,"请点击\n头像上阵",""
pleaseClick20Lab,"请点击\n头像上阵",""
arenaOnlineTitleLab,"在线竞技场",""
arenaOfflineTitleLab,"离线竞技场",""
arenaIn1Lab,"进入",""
arenaOnlineInfoLab,"在竞技场中挑战贝伦大陆上众多冒险者 ,  带上你的伙伴  ,  来挑战竞技场吧!",""
arenaOfflineInfoLab,"在竞技场中挑战世界各地的冒险者吧 , 召集其他冒险者 , 组队与各地经营冒险者进行战斗吧!",""
arenaTitleLab,"竞技场",""
arenaMyRankLab,"排名",""
arenaMyRankRewardLab,"排名奖励",""
arenaCheckRewardLab,"查看奖励",""
arenaRollBtnLab,"换一批",""
arenaMyRankInfoLab,"每晚十点发放竞技场奖励",""
arenaFigthInfoLab,"战斗信息",""
arenaRankBtnLab,"排行榜",""
arenaCellChallengBtnLab,"挑战",""
arenaCellRankLab,"排名",""
enter,"确定",""
Team_CreateTitle,"创建队伍",""
Team_Target,"目标选择",""
Team_TeameName,"队伍名称",""
Team_Level,"等级限制",""
Team_EnterTitle,"确定",""
Team_PInfoTitle,"角色信息",""
Team_PInfoBaby,"携带宠物",""
Team_PInfoHuo,"携带伙伴",""
Team_PInfoName,"名字",""
Team_PInfoPro,"职业",""
Team_PInfoLevel,"等级",""
Team_PInfoLookSkill,"查看技能",""
Team_PInfoAddF,"加为好友",""
Team_PInfoInv,"家族邀请",""
Team_BabyLevel,"等级",""
Team_ChangeTitle,"修改队伍",""
Team_ChangeTarget,"目标选择",""
Team_ChangeLevel,"等级限制",""
Team_ChangeEnter,"确定",""
Success_Title,"成就",""
Success_SuccessJD,"当前成就进度",""
Success_SuccessLQ,"领取",""
Charts_Title,"排行榜",""
Charts_Fighting,"战斗力",""
Charts_Level,"等级",""
Charts_Baby,"宠物",""
Charts_ChartsHB,"伙伴",""
Charts_ChartsJJ,"竞技",""
Tujian_Title,"图鉴",""
Tujian_Humanoid,"人形系",""
Tujian_Beast,"野兽系",""
Tujian_Plant,"植物系",""
Tujian_Immortal,"不死系",""
Tujian_Insect,"昆虫系",""
Tujian_Metal,"金属系",""
Tujian_Dragon,"龙系",""
Tujian_Flight,"飞行系",""
Tujian_Special,"特殊系",""
BabyInfo_Title,"宠物详情",""
BabyInfo_BabyInfo,"宠物信息",""
BabyInfo_BabyInfoName,"名称",""
BabyInfo_BabyInfoNum,"编号",""
BabyInfo_BabyInfoTiL,"体力",""
BabyInfo_BabyInfoNL,"耐力",""
BabyInfo_BabyInfoZL,"智力",""
BabyInfo_BabyInfoRace,"种族",""
BabyInfo_BabyInfoLL,"力量",""
BabyInfo_BabyInfoMJ,"敏捷",""
BabyInfo_BabyInfoSkillL,"技能",""
BabyInfo_BabyInfoDI,"地",""
BabyInfo_BabyInfoSHUI,"水",""
BabyInfo_BabyInfoHUO,"火",""
BabyInfo_BabyInfoF,"风",""
BabyInfo_BabyInfoBZBtn,"捕捉",""
BabyInfo_BabyInfoNoBZ,"无法捕捉",""
BabyInfo_BabyInfoBZLand,"获得方式",""
BabyInfo_BabyInfoPaimaihang,"拍卖行购买",""
BabyInfo_BabyInfoqugoumai,"去购买",""
BabyInfo_BabyInfoLookSkill,"查看技能",""
kill_Qianwang,"前往",""
kill_Title,"技能学习",""
bank_Title,"银行",""
bank_Items,"道具",""
bank_Baby,"宠物",""
bank_TakeOut,"取出",""
bank_TakeIn,"存入",""
bank_Level,"等级",""
bank_Species,"种类",""
bank_Tujing,"获取途径",""
bank_Arrange,"整理",""
bank_Hp,"生命",""
bank_Mp,"魔力",""
bank_Level,"等级",""
bank_Paly,"出战",""
bank_Stan,"待命",""
babyL_Title,"宠物技能",""
babyL_SkillDes,"技能描述",""
babyL_XiaoHao,"学习消耗",""
babyL_Learning,"学习",""
babyL_SkillAttack,"攻击技能",""
babyL_AttackM,"攻击魔法",""
babyL_StateAttack,"状态攻击",""
babyL_FZ,"辅助技能",""
baby_GZ,"改造",""
baby_desl,"改造宠物后，宠物的外形和成长会改变，改造需要一只1级原始宠物和改造的道具",""
Caht_Title,"宠物",""
Caht_Skill,"技能",""
Caht_Race,"种族",""
Caht_Name,"名字",""
Caht_Level,"等级",""
Caht_Hp,"生命值",""
Caht_CMp,"魔法值",""
Caht_Di,"地",""
Caht_Shui,"水",""
Caht_Huo,"火",""
Caht_Feng,"风",""
Caht_Shuxing,"属性",""
Caht_Chengzhang,"成长",""
Caht_Attack,"攻击",""
Caht_fangyu,"防御",""
Caht_minjie,"敏捷",""
Caht_jingshen,"精神",""
Caht_huifu,"回复",""
Caht_bisha,"必杀",""
Caht_mingzhong,"命中",""
Caht_fanji,"反击",""
Caht_shanduo,"闪避",""
Caht_tili,"体力",""
Caht_liliang,"力量",""
Caht_qiangdu,"强度",""
Caht_mofa,"魔法",""
Caht_sudu,"速度",""
Caht_shengyu,"剩余点数",""
mainbaby_tit,"宠物",""
mainbaby_ZDL,"战斗力",""
mainbaby_JN,"技能",""
mainbaby_MZ,"名字",""
mainbaby_Level,"等级",""
mainbaby_EXP,"经验",""
mainbaby_ZC,"忠诚",""
mainbaby_DI,"地",""
mainbaby_Shui,"水",""
mainbaby_Huo,"火",""
mainbaby_Feng,"风",""
mainbaby_bank,"银行",""
mainbaby_fangsheng,"放生",""
mainbaby_state,"状态",""
mainbaby_shuxing,"属性",""
mainbaby_huanyuan,"还原",""
mainbaby_qianhua,"强化",""
mainbaby_GZ,"改造",""
mainbaby_TJ,"图鉴",""
mainbaby_shxk,"属性相克",""
mainbaby_queren,"确认加点",""
emialTitelLab,"邮件",""
emialNothinglLab,"当前没有邮件",""
MagicTitleLab,"神器",""
MagicSelectItemLab,"点击选择升级材料",""
MagicUIInfoLab,"通过消耗角色装备，可提升神器等级，神器等级越高附加的属性越高。每5级可进行神器突破，突破后神器可继续升级。",""
MagicSelectItem1Lab,"点击选择升级材料",""
MagiclevelBtnLab,"升级",""
MagicTupoBtnLab,"突破",""
gatherTitleLab,"采集",""
gatherMnieLab,"采矿",""
gatherTreeLab,"伐木",""
gatherClothLab,"织布",""
gatherOneBtnLab,"采集",""
gatherTenBtnLab,"采集10次",""
gatherNumInfoLab,"次数将于每天00:00恢复",""
gatherGetItemLab,"本次采集获得",""
gatherNeedBook,"采集需要{n}许可证",""
equipProfession,"职业不符或者职业阶级不足，请进阶！",""
shoulian,"请使用宠物银行扩充卷来扩充您的宠物银行",""
meiyouchongwu,"您当前没有宠物",""gatherNeedBook,"需要{n}采集许可证",""
gatherCanNum,"今日还可采集 {n} 次",""
xuyaopeifang,"需要使用{n}才能制造",""
EN_OpenGatherRepetition,"已经开启了此采集资格,不需要重复使用",""
useopenGatherbook,"成功使用{n}证书",""
gathertennoNum,"采集次数不足10次,不可采集",""
xuehuifengfang,"学习制造{n}配方成功",""
EN_UseMakeRepeat,"已经习得该配方，不需重复使用",""
gongxitongguan,"恭喜通关",""
likai,"离开",""gathertennoNum,"采集次数不足10次,不可采集",""
gongxitongguan,"恭喜您通关",""
likai,"离开",""
likaifuben,"暂离或者离队将被传送出副本，结束本次副本",""
WishOk,"许愿成功！",""
ti,"第{n}题",""
zhuanpantime,"活动时间{n}",""
qiwuxuexijineng,"请去主城找技能教官学习技能",""
time,"活动时间",""
fubenguidui,"这个队伍在副本中，不能归队！",""
bunengzhaohuan,"这个队伍在副本中，不能召唤队员！",""
bunengjinruben,"必须3人以上组队才能进入副本！",""
teamlevelfuben,"队员等级必须都大于30才能进入副本！",""
teamlevelfuben1,"队员等级必须都大于40才能进入副本！",""
teamlevelfuben2,"队员等级必须都大于50才能进入副本！",""
teamlevelfuben3,"队员等级必须都大于60才能进入副本！",""
xuyuanre,"请去主城的许愿树下使用",""
EN_WishNull,"愿望池空了，快去许愿吧！",""
xuyuantishi,"恭喜您获得了{n}金币{n1}经验",""
NoPlayer,"无角色信息",""
fubencishu,"{n}进入副本次数不足",""
fireyinji,"解雇的伙伴印记不能恢复，解雇一个伙伴印记可获得{n}佣兵之心请选择解雇数量",""
fireyinjiok,"获得 {n} 佣兵之心",""fubencishu,"{n}进入副本次数不足",""
chushoujiage,"出售价格最低为10钻石",""
xuanzeyinji,"请选择需要转换的印记",""
CannotDoWhenChangeStage,"切换场景中不能操作",""
NpcTishi,"点击名字自动寻路至位置",""
NpcTitle,"快捷寻路",""
CannotCatch,"无法捕捉",""
Nothing,"无",""
NoTwoActiveSkill,"不能选择两次主动技能",""
confirmEnterInstance30,"是否进入30级副本？",""
confirmEnterInstance40,"是否进入40级副本？",""
confirmEnterInstance50,"是否进入50级副本？",""
confirmEnterInstance60,"是否进入60级副本？",""
confirmEnterInstance70,"是否进入70级副本？",""
notLimit,"不限",""
levelOpen,"级开启",""
openDaylight,"全天开启",""
opening,"开启",""
chatLineMax,"聊天内容太长",""
meiyoucishu,"次数已用完",""
teamMemberLeavingNoopen,"当前有队员暂离不能开启",""
babyAlreadyOnTop,"满",""
jiazuzijin,"兑换资金不得小于10000",""
dayusgangxian,"兑换资金已到达上限",""
duihuanbeishu,"兑换金币数量必须是一万的倍数",""
wu,"无",""
bunengyaoqingdifang,"不能邀请敌方成员",""
bunengweikong,"发送消息不能为空",""
EN_InTeamBlackList,"您在队伍黑名单中不能加入这个队伍",""
OpenByLv,"[b]{0}级开启[-]",""
EN_RefreshShopTimeLess,"家族商店刷新次数不足",""
TT_Copy,"副本",""
EN_LevelupGuildBuildingLevelMax,"已到最大等级",""
EN_LevelupGuildBuildingMoneyLess,"家族资金不足",""
EN_LevelupGuildBuildingHallBuildLevelLess,"请先升级主建筑",""
dangqianprop,"本级",""
xiajiprop,"下一级",""
TT_Copy,"副本",""
renming,"是否任命{n}(n1)",""
tichuduiyuan,"您只能踢出职位是成员的玩家",""
createGuildItem,"创建家族需要{n}",""
shuijing,"水晶",""
noshuijing,"水晶不足",""
shandkaiqi1,"4级开启",""
shandkaiqi2,"7级开启",""
shandkaiqi3,"10级开启",""
weikaiqi,"未开启",""
GuildQuestNoTeam,"组队状态下不可领取任务",""
selfWinCount,"我方胜场:{n}",""
selfMonsterCount,"我方守护兽：{n1}",""
DiWinCount,"敌方胜场：{n}",""
DiMonsterCount,"敌方守护兽：{n1}",""
OpenfamilyBattle,"准备阶段",""
startfamilyBattle,"决战阶段",""
MLF_Add,"{n}加入家族",""
MLF_Delete,"{n}离开家族",""
MLF_ChangeOnline,"{n}已上线",""
MLF_ChangeOffline,"{n}已上线",""
MLF_ChangePosition,"{n}被任命为{n1}",""
MLF_time,"{n}月{n1}日{n2}时{n3}分",""
IST_Fashion,"时装",""
goumaicishu,"购买次数已用尽",""
arenapvpnum,"队伍人数不足不得小于3人",""
zaixian,"在线",""
EN_TeamMemberNoGuild,"队伍内有非本家族成员",""
ADT_7Days,"7日活动",""
ADT_Cards,"幸运占卜",""
ADT_ChargeTotal,"累计充值",""
ADT_ChargeEvery,"单笔充值",""
ADT_DiscountStore,"打折商店",""
ADT_Foundation,"成长基金",""
ADT_HotRole,"热点伙伴",""
ADT_LoginTotal,"累计登录",""
ADT_OnlineReward,"在线奖励",""
ADT_SelfChargeTotal,"累计充值",""
ADT_SelfChargeEvery,"单笔充值",""
ADT_SelfDiscountStore,"打折商店",""
ADT_BuyEmployee,"顶级招募",""
decqian,"在线",""
dechou,"分钟奖励",""
huodongneiyong,"活动内容：活动期间在线时间满足相应条件即可享受丰厚奖励",""
huodongshijian,"活动时间：",""
leijichongzhitime,"活动内容：活动期间累计充值满足相应条件即可享受丰厚奖励\n活动时间：{n}",""
danbichongzhitime,"活动内容：活动期间单笔充值满足相应条件即可享受丰厚奖励\n活动时间：{n}",""
zaomuchongzhitime,"顶级次数达到要求即可领取对应奖励\n活动时间：{n}",""
partnerSkill,"伙伴技能",""
babySkill,"宠物技能",""
leijikemainum,"可购买{n}次",""
babySkill,"宠物技能",""
notEnoughItemCount,"{0}不足",""
adcardsNeedTips,"洗牌需要消耗{0}个{1},是否确定",""
notEnoughMagicCurrency,"水晶不足,是否充值",""
notReachDay,"还未到天数,不可领取",""
BigOne,"一",""
BigTwo,"二",""
BigThree,"三",""
BigFour,"四",""
BigFive,"五",""
BigSix,"六",""
BigSeven,"七",""
HowDay,"第{0}天",""
Wait4Open,"等待开启",""
7dayTime,"活动规则:活动期间,完成相应任务获得奖励",""
leijidenglutian,"累计登录{n}天",""
querengoumaishuijing,"花费1980水晶购买成长基金，是否确定？点确定再购买",""
salezhe,"折",""querengoumaishuijing,"花费1980水晶购买成长基金，是否确定？点确定再购买",""
yijinggoumaiguo,"已经购买过了",""
EN_MagicCurrencyLess,"水晶不足",""
EN_DisShopLimitLess,"购买超过限购次数,不可购买",""
havenum,"剩余次数",""
WillEnterBattle,"即将进入战斗,是否确定?",""
tishixuanren,"选择的人物和职业没有关系,在游戏中可以就职任何职业",""
goshop,"是否去商场购买时装",""
tanhezuzhang,"是否弹劾族长\n(弹劾成功后您奖成为组长)",""
shangchenggoumai,"请使用{n}来弹劾族长",""
tanhecuowu,"族长离线时间未达到30天不能弹劾",""
xiaohaotimoli,"钻石不足 是否用水晶代替消耗{n}","" 
tanhecuowu,"族长离线时间未达到30天不能弹劾",""
xiayuyixiaoshi,"小于1小时前",""
dayuyixiaoshi,"{n}小时前",""
tianshu,"{n}天前",""
vip1name,"普通会员",""
vip2name,"超级会员",""
morebuyEmpcell,"顶级招募{n}次可以领取",""
zidongguaji,"开启挂机后可以在附近自动巡逻遭遇怪物",""
shuangbeijingyan,"开启双倍经验后击杀怪物后获得的经验和技能经验将加倍",""
shuangbejingyanshengyu,"双倍经验剩余时间{n}",""
microphoneforbidden,"录音权限已禁用",""
daojubuzu,"道具不足是否去商城购买?",""
xiaohaojizhnag,"消耗了{n1}个{n},是否继续?",""
duihuanbuy,"兑换",""
shouchangjian,"收藏夹",""
tonghzihuanban,"通知小伙伴开启商会服务器",""
likaijiazuzhan,"正在家族战，切换到其他场景将离开家族战，是否确定？",""
EN_MyFamilyMonster,"不可攻击自己家族的守护兽",""
duizhang,"队长",""
duiyuan,"队员",""
EN_NoBattleTime,"在保护时间内不再攻击",""
EN_OtherNoBattleTime,"目标在保护时间内不再攻击",""
kaishijishi,"开始倒计时:{n}",""
duifangjifen,"对方积分{n}",""
wofangjifen,"我方积分{n}",""
