ID,ProudSkillGroup,Name,JobType,JobLv,EquipType,SkillGroup,ProfessionIcon,Recommand,Describe,RecommendSkills,RecommendEquip,RecommendEquipicon,RecommendSkills1,chuansong,OpenLV,pic
31,2511;2581;2531;2541;2551;2561;2571,高级刺客,JT_Ninja,3,IST_Sword:8;IST_Axe:8;IST_Spear:8;IST_Bow:6;IST_Stick:0;IST_Knife:7;IST_Armor:0;IST_Clothes:0;IST_Robe:0;IST_Helmet:0;IST_Hat:0;IST_Shoes:0;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:5;1061:5;1051:5;1011:5;1031:5;1021:5;1081:5;2501:5;2521:5;1091:5;2511:8;2361:4;2371:4;2381:4;2391:4;2121:4;2441:4;2451:4;2461:4;2471:4;2481:4;2491:4;2411:4;2421:4;2431:4;2401:4;2001:4;2011:4;2021:4;2031:4;2041:4;2051:4;2061:4;2071:4;2081:4;2091:4;2101:4;2111:4;2131:3;2141:2;2151:3;2161:3;2171:3;2181:2;2191:3;2201:2;2211:3;2221:3;2231:3;2241:2;2251:3;2261:2;2271:3;2281:3;2291:3;2301:2;2581:8;2531:8;2541:8;2551:8;2561:8;2571:8,,PT_Stama:1;PT_Power:1;PT_Speed:2,漂亮的刺杀，通常可以一轮把对方带走，赢得队友羡慕的眼光…喜欢向难度挑战的玩家可以选择刺客这个职业。,刺杀:最高可到8级\n抗毒:最高可到8级\n抗昏睡:最高可到8级\n抗石化:最高可到8级\n抗酒醉最高可到8级\n抗混乱最高可到8级\n抗遗忘:最高可到8级,剑：最高可装备8级\n斧：最高可装备8级\n枪：最高可装备8级,8005;8006;8007,刺杀\n抗性技能,999;202,25,cike
34,2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121,王宫法师,JT_Mage,3,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:8;IST_Knife:4;IST_Armor:0;IST_Clothes:4;IST_Robe:8;IST_Helmet:0;IST_Hat:8;IST_Shoes:8;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:8;2441:4;2451:4;2461:4;2471:4;2481:4;2491:4;2411:4;2421:2;2431:3;2401:2;2001:8;2011:8;2021:8;2031:8;2041:8;2051:8;2061:8;2071:8;2081:8;2091:8;2101:8;2111:8;2131:5;2141:2;2151:4;2161:2;2171:2;2181:5;2191:5;2201:2;2211:5;2221:2;2231:2;2241:5;2251:5;2261:2;2271:5;2281:2;2291:2;2301:5;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,fashi.png,PT_Stama:1;PT_Magic:2;PT_Speed:1,吟唱着古老的咒文，释放出强大的精神力，以毁灭性的魔法将眼前的敌人带入死亡的地狱…如果你想体验群攻强大的魔法威力，就选择法师吧。,单体输出魔法:最高可到8级\n十字输出魔法:最高可到8级\n全体输出魔法:最高可到8级\n吸血魔法:最高可到8级,杖：最高可装备8级\n帽子：最高可装备8级\n袍：最高可装备8级\n鞋子：最高可装备8级,8009;8015;8017;8018,单体输出魔法\n十字输出魔法\n全体输出魔法\n吸血魔法,2;207,1,fashi
35,2361;2371;2381;2391,王宫牧师,JT_Sage,3,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:8;IST_Knife:0;IST_Armor:0;IST_Clothes:4;IST_Robe:8;IST_Helmet:0;IST_Hat:8;IST_Shoes:8;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:2;1011:4;1021:2;1081:2;2521:2;1091:2;2361:8;2371:8;2381:8;2391:8;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:5;2421:5;2431:5;2401:5;2001:5;2011:5;2021:5;2031:5;2041:5;2051:5;2061:5;2071:5;2081:5;2091:5;2101:5;2111:5;2131:2;2141:5;2151:2;2161:2;2171:2;2181:5;2191:2;2201:5;2211:2;2221:2;2231:2;2241:5;2251:2;2261:5;2271:2;2281:2;2291:2;2301:5;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,mushi.png,PT_Stama:2;PT_Magic:1;PT_Speed:1,默念着回复体力的神圣咒文，让身受重伤的队友重新站起来，永远在后面支持着队友…如果你喜欢交朋友或照顾大家，这个职业最适合不过了。,恢复术:最高可到8级\n十字恢复术:最高可到8级\n全体恢复术:最高可到8级\n复活:最高可到8级,杖：最高可装备8级\n帽子：最高可装备8级\n袍：最高可装备8级\n鞋子：最高可装备8级,8009;8015;8017;8018,复活、回复术\n十字回复术\n全体回复术,2;207,1,jisi
36,2441;2451;2461;2471;2481;2491;2411;2421;2431;2401,王宫巫师,JT_Wizard,3,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:8;IST_Knife:0;IST_Armor:0;IST_Clothes:4;IST_Robe:8;IST_Helmet:0;IST_Hat:8;IST_Shoes:8;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2521:2;1091:2;2361:4;2371:4;2381:4;2391:8;2121:5;2441:8;2451:8;2461:8;2471:8;2481:8;2491:8;2411:8;2421:8;2431:8;2401:8;2001:5;2011:5;2021:5;2031:5;2041:5;2051:5;2061:5;2071:5;2081:5;2091:5;2101:5;2111:5;2131:2;2141:5;2151:2;2161:5;2171:5;2181:2;2191:2;2201:5;2211:2;2221:5;2231:5;2241:2;2251:2;2261:5;2271:2;2281:5;2291:5;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,将魔力注入到自己的体内，使敌人的攻击能量转为回复能量。笑看着敌人精疲力尽的一个一个倒下…巫师难度高实力强，有实力的你快来挑战。,吸收技能:最高可到8级\n反弹技能:最高可到8级\n无效技能:最高可到8级\n恢复魔法:最高可到8级\n十字恢复魔法:最高可到8级\n全体恢复魔法:最高可到8级\n净化术:最高可到8级,杖：最高可装备8级\n帽子：最高可装备8级\n袍：最高可装备8级\n鞋子：最高可装备8级,8009;8015;8017;8018,吸收技能、反弹技能\n无效技能、恢复魔法\n十字恢复魔法、全体回复魔法\n净化术,999;1110,35,wushi
37,2131;2141;2151;2161;2171;2181;2191;2201;2211;2221;2231;2241;2251;2261;2271;2281;2291;2301,王宫咒术师,JT_Word,3,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:8;IST_Knife:4;IST_Armor:0;IST_Clothes:4;IST_Robe:8;IST_Helmet:0;IST_Hat:8;IST_Shoes:8;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:5;2371:5;2381:5;2391:4;2121:4;2441:5;2451:5;2461:5;2471:5;2481:5;2491:5;2411:2;2421:2;2431:2;2401:4;2001:5;2011:5;2021:5;2031:5;2041:5;2051:5;2061:5;2071:5;2081:5;2091:5;2101:5;2111:5;2131:8;2141:8;2151:8;2161:8;2171:8;2181:8;2191:8;2201:8;2211:8;2221:8;2231:8;2241:8;2251:8;2261:8;2271:8;2281:8;2291:8;2301:8;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,在战斗中施展各种各样的咒术，使得敌人动弹不得，方寸大乱…想随心所欲的玩弄敌人的你，咒术师是不错的选择。,单体状态魔法:最高可到8级\n十字状态魔法:最高最高可到8级\n全体状态魔法:最高可到8级\n,杖：最高可装备8级\n帽子：最高可装备8级\n袍：最高可装备8级\n鞋子：最高可装备8级,8009;8015;8017;8018,单体状态魔法\n十字状态魔法\n全体状态魔法,999;203,25,zhoushu
38,1001;1061;1011;1031;1081;1091,战斧师范,JT_Axe,4,IST_Sword:3;IST_Axe:10;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:10;IST_Clothes:3;IST_Helmet:10;IST_Hat:3;IST_Shoes:3;IST_Boot:10;IST_Shield:10;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:10;1061:10;1051:4;1011:10;1031:10;1021:6;1081:10;2501:6;2521:6;1091:10;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,yongbing.png,PT_Stama:1;PT_Strength:2;PT_Speed:1,"挥舞著明晃晃的大斧，以终极重力横扫著一群一群的敌人,佣兵是各职业中攻最高的，想体验高战斗能力的你佣兵是你最好的选择！",连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n破防:最高可到10级\n魔能摄取:最高可到10级\n自体再生:最高可到10级,斧：最高可装备10级\n头盔：最高可装备10级\n铠甲：最高可装备10级\n靴子：最高可装备10级,8005;8012;8013;8014,连击、神圣突击\n狂暴、魔能摄取\n破防、自体再生,2;207,1,yongbing
39,1001;1061;1011;2501;1091,剑士师范,JT_Sword,4,IST_Sword:10;IST_Axe:3;IST_Spear:3;IST_Bow:3;IST_Knife:3;IST_Armor:10;IST_Clothes:3;IST_Helmet:10;IST_Hat:3;IST_Shoes:3;IST_Boot:10;IST_Shield:10;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:10;1061:10;1051:4;1011:10;1031:6;1021:6;1081:6;2501:10;2521:5;1091:8;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:1;PT_Strength:1;PT_Speed:2,挥动著手中的圣剑，毫不留情的斩杀所有危害善良的邪恶魔物…剑是武器中的君子，剑士就可谓是战士中的强者，不妨试下，去体验英雄的滋味。,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n神圣护盾:最高可到10级\n自体再生:最高可到10级,剑：最高可装备10级\n头盔：最高可装备10级\n铠甲：最高可装备10级\n靴子：最高可装备10级,8006;8012;8013;8014;8011,连击、神圣突击\n狂暴、自体再生\n神圣护盾,999;201,25,jianshi
40,1001;1061;1011;1021;2521;1091,骑士师范,JT_Knight,4,IST_Sword:3;IST_Axe:3;IST_Spear:10;IST_Bow:3;IST_Knife:3;IST_Armor:10;IST_Clothes:3;IST_Helmet:10;IST_Hat:3;IST_Shoes:3;IST_Boot:10;IST_Shield:10;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:10;1061:10;1051:4;1011:10;1031:6;1021:10;1081:6;2501:6;2521:10;1091:10;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Strength:1;PT_Speed:1,拥有高尚的骑士精神，绝不允许别人伤害自己队友的热血…超高的防御力让骑士成为战斗中最难缠的角色之一。喜欢刀枪不入的你，骑士就是你最佳的选择!,连击:最高可到10级\n神圣突击:最高可到10级\n狂暴:最高可到10级\n反击:最高可到10级\n守护:最高可到10级\n自体再生:最高可到10级,枪：最高可装备10级\n头盔：最高可装备10级\n铠甲：最高可装备10级\n靴子：最高可装备10级,8007;8012;8013;8014,连击、神圣突击\n狂暴、自体再生\n反击、守护,999;1107,35,qishi
41,1041;2521;1091,猎人师范,JT_Archer,4,IST_Sword:4;IST_Axe:4;IST_Spear:4;IST_Bow:10;IST_Knife:6;IST_Armor:4;IST_Clothes:8;IST_Helmet:4;IST_Hat:8;IST_Shoes:8;IST_Boot:4;IST_Shield:4;IST_Stick:0;IST_Robe:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:4;1061:4;1041:10;1051:4;1011:4;1031:4;1021:4;1081:4;2501:4;2521:10;1091:10;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2;1062:10,gongjian.png,PT_Stama:1;PT_Strength:2;PT_Speed:1,藏匿在隐密的地点，优雅的取出箭矢搭在弓上，精准瞄准著敌人的心脏，手起矢出，敌人应声而倒…难度小，适合刚进大陆的你。,乱射:最高可到10级\n守护:最高可到10级\n自体再生:最高可到10级,弓：最高可装备10级\n帽子：最高可装备10级\n衣服：最高可装备10级\n鞋子：最高可装备10级,8008;8015;8016;8018,乱射、守护\n自体再生,2;207,1,gongjianshou
42,1051;1031;1021;1081;2521;1091;1071,武僧师范,JT_Fighter,4,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:0;IST_Knife:0;IST_Armor:0;IST_Clothes:10;IST_Robe:0;IST_Helmet:0;IST_Hat:10;IST_Shoes:10;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1051:10;1031:10;1021:10;1081:10;2521:10;1091:10;1071:10;2361:2;2371:2;2381:2;2391:2;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:2;2421:2;2431:2;2401:2;2001:2;2011:2;2021:2;2031:2;2041:2;2051:2;2061:2;2071:2;2081:2;2091:2;2101:2;2111:2;2131:2;2141:2;2151:2;2161:2;2171:2;2181:2;2191:2;2201:2;2211:2;2221:2;2231:2;2241:2;2251:2;2261:2;2271:2;2281:2;2291:2;2301:2;2581:4;2531:4;2541:4;2551:4;2561:4;2571:4,,PT_Stama:1;PT_Strength:2;PT_Speed:1,赤手空拳将敌人击败在自己的拳头之上…格斗空手的威力比其它职业的要大。想体验战斗系技能的精髓的你，就尝试这个职业吧。,元气爆:最高可到10级\n破防:最高可到10级\n反击:最高可到10级\n魔能摄取:最高可到10级\n守护最高可到10级\n自体再生:最高可到10级\n,帽子：最高可装备10级\n衣服：最高可装备10级\n鞋子：最高可装备10级,8015;8016;8018,反击、元气爆\n破防、魔能摄取\n守护、自体再生,999;1109,35,wuseng
43,2511;2581;2531;2541;2551;2561;2571,影,JT_Ninja,4,IST_Sword:10;IST_Axe:10;IST_Spear:10;IST_Bow:8;IST_Stick:0;IST_Knife:8;IST_Armor:0;IST_Clothes:0;IST_Robe:0;IST_Helmet:0;IST_Hat:0;IST_Shoes:0;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:6;1061:6;1051:6;1011:6;1031:6;1021:6;1081:6;2501:6;2521:6;1091:6;2511:10;2361:4;2371:4;2381:4;2391:4;2121:4;2441:4;2451:4;2461:4;2471:4;2481:4;2491:4;2411:4;2421:4;2431:4;2401:4;2001:4;2011:4;2021:4;2031:4;2041:4;2051:4;2061:4;2071:4;2081:4;2091:4;2101:4;2111:4;2131:4;2141:2;2151:4;2161:4;2171:4;2181:2;2191:4;2201:2;2211:4;2221:4;2231:4;2241:2;2251:4;2261:2;2271:4;2281:4;2291:4;2301:2;2581:10;2531:10;2541:10;2551:10;2561:10;2571:10,,PT_Stama:1;PT_Power:1;PT_Speed:2,漂亮的刺杀，通常可以一轮把对方带走，赢得队友羡慕的眼光…喜欢向难度挑战的玩家可以选择刺客这个职业。,刺杀:最高可到10级\n抗毒:最高可到10级\n抗昏睡:最高可到10级\n抗石化:最高可到10级\n抗酒醉最高可到10级\n抗混乱最高可到10级\n抗遗忘:最高可到10级,剑：最高可装备10级\n斧：最高可装备10级\n枪：最高可装备10级,8005;8006;8007,刺杀\n抗性技能,999;202,25,cike
46,2001;2011;2021;2031;2041;2051;2061;2071;2081;2091;2101;2111;2121,魔导士,JT_Mage,4,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:10;IST_Knife:4;IST_Armor:0;IST_Clothes:4;IST_Robe:10;IST_Helmet:0;IST_Hat:10;IST_Shoes:10;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:2;2371:2;2381:2;2391:2;2121:10;2441:4;2451:4;2461:4;2471:4;2481:4;2491:4;2411:4;2421:2;2431:3;2401:2;2001:10;2011:10;2021:10;2031:10;2041:10;2051:10;2061:10;2071:10;2081:10;2091:10;2101:10;2111:10;2131:6;2141:2;2151:6;2161:2;2171:2;2181:6;2191:6;2201:2;2211:6;2221:2;2231:2;2241:6;2251:6;2261:2;2271:6;2281:2;2291:2;2301:6;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,fashi.png,PT_Stama:1;PT_Magic:2;PT_Speed:1,吟唱着古老的咒文，释放出强大的精神力，以毁灭性的魔法将眼前的敌人带入死亡的地狱…如果你想体验群攻强大的魔法威力，就选择法师吧。,单体输出魔法:最高可到10级\n十字输出魔法:最高可到10级\n全体输出魔法:最高可到10级\n吸血魔法:最高可到10级,杖：最高可装备10级\n帽子：最高可装备10级\n袍：最高可装备10级\n鞋子：最高可装备10级,8009;8015;8017;8018,单体输出魔法\n十字输出魔法\n全体输出魔法\n吸血魔法,2;207,1,fashi
47,2361;2371;2381;2391,主教,JT_Sage,4,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:10;IST_Knife:0;IST_Armor:0;IST_Clothes:4;IST_Robe:10;IST_Helmet:0;IST_Hat:10;IST_Shoes:10;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:2;1011:4;1021:2;1081:2;2521:2;1091:2;2361:10;2371:10;2381:10;2391:8;2121:2;2441:2;2451:2;2461:2;2471:2;2481:2;2491:2;2411:6;2421:6;2431:6;2401:6;2001:6;2011:6;2021:6;2031:6;2041:6;2051:6;2061:6;2071:6;2081:6;2091:6;2101:6;2111:6;2131:2;2141:6;2151:2;2161:2;2171:2;2181:6;2191:2;2201:6;2211:2;2221:2;2231:2;2241:6;2251:2;2261:6;2271:2;2281:2;2291:2;2301:6;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,mushi.png,PT_Stama:2;PT_Magic:1;PT_Speed:1,默念着回复体力的神圣咒文，让身受重伤的队友重新站起来，永远在后面支持着队友…如果你喜欢交朋友或照顾大家，这个职业最适合不过了。,恢复术:最高可到10级\n十字恢复术:最高可到10级\n全体恢复术:最高可到10级\n复活:最高可到10级,杖：最高可装备10级\n帽子：最高可装备10级\n袍：最高可装备10级\n鞋子：最高可装备10级,8009;8015;8017;8018,复活、回复术\n十字回复术\n全体回复术,2;207,1,jisi
48,2441;2451;2461;2471;2481;2491;2411;2421;2431;2401,巫术大师,JT_Wizard,4,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:10;IST_Knife:0;IST_Armor:0;IST_Clothes:4;IST_Robe:10;IST_Helmet:0;IST_Hat:10;IST_Shoes:10;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:2;1031:2;1021:2;1081:2;2521:2;1091:2;2361:4;2371:4;2381:4;2391:8;2121:6;2441:10;2451:10;2461:10;2471:10;2481:10;2491:10;2411:10;2421:10;2431:10;2401:10;2001:6;2011:6;2021:6;2031:6;2041:6;2051:6;2061:6;2071:6;2081:6;2091:6;2101:6;2111:6;2131:2;2141:6;2151:2;2161:6;2171:6;2181:2;2191:2;2201:6;2211:2;2221:6;2231:6;2241:2;2251:2;2261:6;2271:2;2281:6;2291:6;2301:2;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,将魔力注入到自己的体内，使敌人的攻击能量转为回复能量。笑看着敌人精疲力尽的一个一个倒下…巫师难度高实力强，有实力的你快来挑战。,吸收技能:最高可到10级\n反弹技能:最高可到10级\n无效技能:最高可到10级\n恢复魔法:最高可到10级\n十字恢复魔法:最高可到10级\n全体恢复魔法:最高可到10级\n净化术:最高可到10级,杖：最高可装备10级\n帽子：最高可装备10级\n袍：最高可装备10级\n鞋子：最高可装备10级,8009;8015;8017;8018,吸收技能、反弹技能\n无效技能、恢复魔法\n十字恢复魔法、全体回复魔法\n净化术,999;1110,35,wushi
49,2131;2141;2151;2161;2171;2181;2191;2201;2211;2221;2231;2241;2251;2261;2271;2281;2291;2301,降头师,JT_Word,4,IST_Sword:0;IST_Axe:0;IST_Spear:0;IST_Bow:0;IST_Stick:10;IST_Knife:4;IST_Armor:0;IST_Clothes:4;IST_Robe:10;IST_Helmet:0;IST_Hat:10;IST_Shoes:10;IST_Boot:0;IST_Shield:0;IST_Crystal:1;IST_Charm:10;IST_Earrings:10;IST_Bracelet:10;IST_Ring:10;IST_Necklace:10;IST_Headband:10;IST_Instruments:10;IST_Fashion:1,2591:2;2601:2;1001:2;1061:2;1051:2;1011:4;1031:2;1021:2;1081:2;2521:2;1091:2;2361:6;2371:6;2381:6;2391:4;2121:4;2441:6;2451:6;2461:6;2471:6;2481:6;2491:6;2411:2;2421:2;2431:2;2401:4;2001:6;2011:6;2021:6;2031:6;2041:6;2051:6;2061:6;2071:6;2081:6;2091:6;2101:6;2111:6;2131:10;2141:10;2151:10;2161:10;2171:10;2181:10;2191:10;2201:10;2211:10;2221:10;2231:10;2241:10;2251:10;2261:10;2271:10;2281:10;2291:10;2301:10;44:10;45:10;46:10;47:10;48:10;2581:2;2531:2;2541:2;2551:2;2561:2;2571:2,,PT_Stama:2;PT_Magic:1;PT_Speed:1,在战斗中施展各种各样的咒术，使得敌人动弹不得，方寸大乱…想随心所欲的玩弄敌人的你，咒术师是不错的选择。,单体状态魔法:最高可到10级\n十字状态魔法:最高最高可到10级\n全体状态魔法:最高可到10级\n,杖：最高可装备10级\n帽子：最高可装备10级\n袍：最高可装备10级\n鞋子：最高可装备10级,8009;8015;8017;8018,单体状态魔法\n十字状态魔法\n全体状态魔法,999;203,25,zhoushu
