ID,BattleType,dialogue1,dialogue2,BP_Up0,BP_Up1,BP_Up2,BP_Up3,BP_Up4,BP_Up5,BP_Up6,BP_Up7,BP_Up8,BP_Up9,BP_Down0,BP_Down1,BP_Down2,BP_Down3,BP_Down4,BP_Down5,BP_Down6,BP_Down7,BP_Down8,BP_Down9,BattleName
2095,BT_PVE,,,20153,20153,40095,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2096,BT_PVE,,,20153,20153,40096,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2097,BT_PVE,,,20153,20153,40097,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2098,BT_PVE,,,20153,20153,40098,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2099,BT_PVE,,,20153,20153,40099,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2100,BT_PVE,,,20153,20153,40100,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2101,BT_PVE,,,20153,20153,40101,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2102,BT_PVE,,,20153,20153,40102,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2103,BT_PVE,,,20153,20153,40103,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2104,BT_PVE,,,20153,20153,40104,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2105,BT_PVE,,,20153,20153,40105,20153,20153,20153,20153,20153,20153,20153,,,,,,,,,,,
2106,BT_PVE,,,20173,20173,40106,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2107,BT_PVE,,,20173,20173,40107,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2108,BT_PVE,,,20173,20173,40108,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2109,BT_PVE,,,20173,20173,40109,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2110,BT_PVE,,,20173,20173,40110,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2111,BT_PVE,,,20173,20173,40111,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2112,BT_PVE,,,20173,20173,40112,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2113,BT_PVE,,,20173,20173,40113,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2114,BT_PVE,,,20173,20173,40114,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2115,BT_PVE,,,20173,20173,40115,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2116,BT_PVE,,,20173,20173,40116,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2117,BT_PVE,,,20173,20173,40117,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2118,BT_PVE,,,20173,20173,40118,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2119,BT_PVE,,,20173,20173,40119,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2120,BT_PVE,,,20173,20173,40120,20173,20173,20173,20173,20173,20173,20173,,,,,,,,,,,
2121,BT_PVE,,,20216,20216,40121,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2122,BT_PVE,,,20216,20216,40122,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2123,BT_PVE,,,20216,20216,40123,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2124,BT_PVE,,,20216,20216,40124,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2125,BT_PVE,,,20216,20216,40125,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2126,BT_PVE,,,20216,20216,40126,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2127,BT_PVE,,,20216,20216,40127,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2128,BT_PVE,,,20216,20216,40128,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2129,BT_PVE,,,20216,20216,40129,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2130,BT_PVE,,,20216,20216,40130,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2131,BT_PVE,,,20216,20216,40131,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2132,BT_PVE,,,20216,20216,40132,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2133,BT_PVE,,,20216,20216,40133,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2134,BT_PVE,,,20216,20216,40134,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2135,BT_PVE,,,20216,20216,40135,20216,20216,20216,20216,20216,20216,20216,,,,,,,,,,,
2136,BT_PVE,,,20020,20020,40136,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2137,BT_PVE,,,20020,20020,40137,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2138,BT_PVE,,,20020,20020,40138,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2139,BT_PVE,,,20020,20020,40139,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2140,BT_PVE,,,20020,20020,40140,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2141,BT_PVE,,,20020,20020,40141,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2142,BT_PVE,,,20020,20020,40142,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2143,BT_PVE,,,20020,20020,40143,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2144,BT_PVE,,,20020,20020,40144,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2145,BT_PVE,,,20020,20020,40145,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2146,BT_PVE,,,20020,20020,40146,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2147,BT_PVE,,,20020,20020,40147,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2148,BT_PVE,,,20020,20020,40148,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2149,BT_PVE,,,20020,20020,40149,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2150,BT_PVE,,,20020,20020,40150,20020,20020,20020,20020,20020,20020,20020,,,,,,,,,,,
2151,BT_PVE,,,20031,20031,40151,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2152,BT_PVE,,,20031,20031,40152,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2153,BT_PVE,,,20031,20031,40153,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2154,BT_PVE,,,20031,20031,40154,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2155,BT_PVE,,,20031,20031,40155,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2156,BT_PVE,,,20031,20031,40156,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2157,BT_PVE,,,20031,20031,40157,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2158,BT_PVE,,,20031,20031,40158,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2159,BT_PVE,,,20031,20031,40159,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2160,BT_PVE,,,20031,20031,40160,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2161,BT_PVE,,,20031,20031,40161,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2162,BT_PVE,,,20031,20031,40162,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2163,BT_PVE,,,20031,20031,40163,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2164,BT_PVE,,,20031,20031,40164,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2165,BT_PVE,,,20031,20031,40165,20031,20031,20031,20031,20031,20031,20031,,,,,,,,,,,
2166,BT_PVE,,,20071,20071,40166,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2167,BT_PVE,,,20071,20071,40167,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2168,BT_PVE,,,20071,20071,40168,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2169,BT_PVE,,,20071,20071,40169,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2170,BT_PVE,,,20071,20071,40170,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2171,BT_PVE,,,20071,20071,40171,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2172,BT_PVE,,,20071,20071,40172,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2173,BT_PVE,,,20071,20071,40173,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2174,BT_PVE,,,20071,20071,40174,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2175,BT_PVE,,,20071,20071,40175,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2176,BT_PVE,,,20071,20071,40176,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2177,BT_PVE,,,20071,20071,40177,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2178,BT_PVE,,,20071,20071,40178,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2179,BT_PVE,,,20071,20071,40179,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2180,BT_PVE,,,20071,20071,40180,20071,20071,20071,20071,20071,20071,20071,,,,,,,,,,,
2181,BT_PVE,,,20090,20090,40181,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2182,BT_PVE,,,20090,20090,40182,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2183,BT_PVE,,,20090,20090,40183,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2184,BT_PVE,,,20090,20090,40184,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2185,BT_PVE,,,20090,20090,40185,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2186,BT_PVE,,,20090,20090,40186,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2187,BT_PVE,,,20090,20090,40187,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2188,BT_PVE,,,20090,20090,40188,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2189,BT_PVE,,,20090,20090,40189,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2190,BT_PVE,,,20090,20090,40190,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2191,BT_PVE,,,20090,20090,40191,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2192,BT_PVE,,,20090,20090,40192,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2193,BT_PVE,,,20090,20090,40193,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2194,BT_PVE,,,20090,20090,40194,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2195,BT_PVE,,,20090,20090,40195,20090,20090,20090,20090,20090,20090,20090,,,,,,,,,,,
2196,BT_PVE,,,20106,20106,40196,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2197,BT_PVE,,,20106,20106,40197,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2198,BT_PVE,,,20106,20106,40198,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2199,BT_PVE,,,20106,20106,40199,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2200,BT_PVE,,,20106,20106,40200,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2201,BT_PVE,,,20106,20106,40201,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2202,BT_PVE,,,20106,20106,40202,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2203,BT_PVE,,,20106,20106,40203,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2204,BT_PVE,,,20106,20106,40204,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2205,BT_PVE,,,20106,20106,40205,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2206,BT_PVE,,,20106,20106,40206,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2207,BT_PVE,,,20106,20106,40207,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2208,BT_PVE,,,20106,20106,40208,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2209,BT_PVE,,,20106,20106,40209,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2210,BT_PVE,,,20106,20106,40210,20106,20106,20106,20106,20106,20106,20106,,,,,,,,,,,
2211,BT_PVE,,,20124,20124,40211,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2212,BT_PVE,,,20124,20124,40212,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2213,BT_PVE,,,20124,20124,40213,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2214,BT_PVE,,,20124,20124,40214,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2215,BT_PVE,,,20124,20124,40215,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2216,BT_PVE,,,20124,20124,40216,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2217,BT_PVE,,,20124,20124,40217,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2218,BT_PVE,,,20124,20124,40218,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2219,BT_PVE,,,20124,20124,40219,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2220,BT_PVE,,,20124,20124,40220,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2221,BT_PVE,,,20124,20124,40221,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2222,BT_PVE,,,20124,20124,40222,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2223,BT_PVE,,,20124,20124,40223,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2224,BT_PVE,,,20124,20124,40224,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2225,BT_PVE,,,20124,20124,40225,20124,20124,20124,20124,20124,20124,20124,,,,,,,,,,,
2226,BT_PVE,,,20162,20162,40226,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2227,BT_PVE,,,20162,20162,40227,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2228,BT_PVE,,,20162,20162,40228,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2229,BT_PVE,,,20162,20162,40229,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2230,BT_PVE,,,20162,20162,40230,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2231,BT_PVE,,,20162,20162,40231,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2232,BT_PVE,,,20162,20162,40232,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2233,BT_PVE,,,20162,20162,40233,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2234,BT_PVE,,,20162,20162,40234,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2235,BT_PVE,,,20162,20162,40235,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2236,BT_PVE,,,20162,20162,40236,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2237,BT_PVE,,,20162,20162,40237,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2238,BT_PVE,,,20162,20162,40238,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2239,BT_PVE,,,20162,20162,40239,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2240,BT_PVE,,,20162,20162,40240,20162,20162,20162,20162,20162,20162,20162,,,,,,,,,,,
2241,BT_PVE,,,20181,20181,40241,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2242,BT_PVE,,,20181,20181,40242,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2243,BT_PVE,,,20181,20181,40243,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2244,BT_PVE,,,20181,20181,40244,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2245,BT_PVE,,,20181,20181,40245,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2246,BT_PVE,,,20181,20181,40246,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2247,BT_PVE,,,20181,20181,40247,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2248,BT_PVE,,,20181,20181,40248,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2249,BT_PVE,,,20181,20181,40249,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2250,BT_PVE,,,20181,20181,40250,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2251,BT_PVE,,,20181,20181,40251,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2252,BT_PVE,,,20181,20181,40252,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2253,BT_PVE,,,20181,20181,40253,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2254,BT_PVE,,,20181,20181,40254,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2255,BT_PVE,,,20181,20181,40255,20181,20181,20181,20181,20181,20181,20181,,,,,,,,,,,
2256,BT_PVE,,,20213,20213,40256,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2257,BT_PVE,,,20213,20213,40257,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2258,BT_PVE,,,20213,20213,40258,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2259,BT_PVE,,,20213,20213,40259,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2260,BT_PVE,,,20213,20213,40260,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2261,BT_PVE,,,20213,20213,40261,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2262,BT_PVE,,,20213,20213,40262,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2263,BT_PVE,,,20213,20213,40263,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2264,BT_PVE,,,20213,20213,40264,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2265,BT_PVE,,,20213,20213,40265,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2266,BT_PVE,,,20213,20213,40266,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2267,BT_PVE,,,20213,20213,40267,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2268,BT_PVE,,,20213,20213,40268,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2269,BT_PVE,,,20213,20213,40269,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2270,BT_PVE,,,20213,20213,40270,20213,20213,20213,20213,20213,20213,20213,,,,,,,,,,,
2271,BT_PVE,,,20002,20002,40271,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2272,BT_PVE,,,20002,20002,40272,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2273,BT_PVE,,,20002,20002,40273,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2274,BT_PVE,,,20002,20002,40274,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2275,BT_PVE,,,20002,20002,40275,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2276,BT_PVE,,,20002,20002,40276,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2277,BT_PVE,,,20002,20002,40277,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2278,BT_PVE,,,20002,20002,40278,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2279,BT_PVE,,,20002,20002,40279,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2280,BT_PVE,,,20002,20002,40280,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2281,BT_PVE,,,20002,20002,40281,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2282,BT_PVE,,,20002,20002,40282,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2283,BT_PVE,,,20002,20002,40283,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2284,BT_PVE,,,20002,20002,40284,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2285,BT_PVE,,,20002,20002,40285,20002,20002,20002,20002,20002,20002,20002,,,,,,,,,,,
2286,BT_PVE,,,20034,20034,40286,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2287,BT_PVE,,,20034,20034,40287,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2288,BT_PVE,,,20034,20034,40288,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2289,BT_PVE,,,20034,20034,40289,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2290,BT_PVE,,,20034,20034,40290,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2291,BT_PVE,,,20034,20034,40291,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2292,BT_PVE,,,20034,20034,40292,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2293,BT_PVE,,,20034,20034,40293,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2294,BT_PVE,,,20034,20034,40294,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2295,BT_PVE,,,20034,20034,40295,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2296,BT_PVE,,,20034,20034,40296,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2297,BT_PVE,,,20034,20034,40297,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2298,BT_PVE,,,20034,20034,40298,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2299,BT_PVE,,,20034,20034,40299,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2300,BT_PVE,,,20034,20034,40300,20034,20034,20034,20034,20034,20034,20034,,,,,,,,,,,
2301,BT_PVE,,,20057,20057,40301,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2302,BT_PVE,,,20057,20057,40302,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2303,BT_PVE,,,20057,20057,40303,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2304,BT_PVE,,,20057,20057,40304,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2305,BT_PVE,,,20057,20057,40305,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2306,BT_PVE,,,20057,20057,40306,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2307,BT_PVE,,,20057,20057,40307,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2308,BT_PVE,,,20057,20057,40308,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2309,BT_PVE,,,20057,20057,40309,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2310,BT_PVE,,,20057,20057,40310,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2311,BT_PVE,,,20057,20057,40311,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2312,BT_PVE,,,20057,20057,40312,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2313,BT_PVE,,,20057,20057,40313,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2314,BT_PVE,,,20057,20057,40314,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2315,BT_PVE,,,20057,20057,40315,20057,20057,20057,20057,20057,20057,20057,,,,,,,,,,,
2316,BT_PVE,,,20078,20078,40316,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2317,BT_PVE,,,20078,20078,40317,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2318,BT_PVE,,,20078,20078,40318,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2319,BT_PVE,,,20078,20078,40319,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2320,BT_PVE,,,20078,20078,40320,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2321,BT_PVE,,,20078,20078,40321,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2322,BT_PVE,,,20078,20078,40322,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2323,BT_PVE,,,20078,20078,40323,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2324,BT_PVE,,,20078,20078,40324,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2325,BT_PVE,,,20078,20078,40325,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2326,BT_PVE,,,20078,20078,40326,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2327,BT_PVE,,,20078,20078,40327,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2328,BT_PVE,,,20078,20078,40328,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2329,BT_PVE,,,20078,20078,40329,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2330,BT_PVE,,,20078,20078,40330,20078,20078,20078,20078,20078,20078,20078,,,,,,,,,,,
2331,BT_PVE,,,20113,20113,40331,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2332,BT_PVE,,,20113,20113,40332,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2333,BT_PVE,,,20113,20113,40333,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2334,BT_PVE,,,20113,20113,40334,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2335,BT_PVE,,,20113,20113,40335,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2336,BT_PVE,,,20113,20113,40336,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2337,BT_PVE,,,20113,20113,40337,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2338,BT_PVE,,,20113,20113,40338,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2339,BT_PVE,,,20113,20113,40339,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2340,BT_PVE,,,20113,20113,40340,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2341,BT_PVE,,,20113,20113,40341,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2342,BT_PVE,,,20113,20113,40342,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2343,BT_PVE,,,20113,20113,40343,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2344,BT_PVE,,,20113,20113,40344,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2345,BT_PVE,,,20113,20113,40345,20113,20113,20113,20113,20113,20113,20113,,,,,,,,,,,
2346,BT_PVE,,,20138,20138,40346,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2347,BT_PVE,,,20138,20138,40347,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2348,BT_PVE,,,20138,20138,40348,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2349,BT_PVE,,,20138,20138,40349,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2350,BT_PVE,,,20138,20138,40350,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2351,BT_PVE,,,20138,20138,40351,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2352,BT_PVE,,,20138,20138,40352,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2353,BT_PVE,,,20138,20138,40353,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2354,BT_PVE,,,20138,20138,40354,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
2355,BT_PVE,,,20138,20138,40355,20138,20138,20138,20138,20138,20138,20138,,,,,,,,,,,
