talk,npcid1,content1,npcid2,content2,npcid3,content3,npcid4,content4,npcid5,content5,npcid6,content6,npcid7,content7,npcid8,content8,npcid9,content9,npcid10,content10,BattleID
202,-1,变色龙罗迪，看上去并没有那么邪恶……,12,你看看尸潮！你看看奥梅亚斯人做的好事！奥梅亚斯人没有好人，这错不了！,,,,,,,,,,,,,,,,,
203,12,多谢你为我们巴尔克斯坦做了这么多，你的善举，苏莱曼大人都清楚了，现在他想召见你。,-1,太好了，终于有机会见到苏莱曼大人了，真希望他知道科托的事情。,12,放心吧，你为巴尔克斯坦做了这么多，苏莱曼大人肯定会帮助你的。,,,,,,,,,,,,,,,
204,13,#name#，巴尔克斯坦有你的帮助，真是我的幸运，你的事情我已经听说了。,-1,请问您知道死灵法师科托吗？我正在追寻这个人。,13,嗯……近来有很多人都奉了克里斯王的命令，前来追寻科托先生，据我所知，他随着一个神秘人前往了奥梅亚斯。,-1,神秘人？那是什么人？科托为什么要追随他前往奥梅亚斯？,13,很遗憾，这些问题，我并不是很清楚，所以无法解答，还需要你自己去探究。,,,,,,,,,,,
205,-1,苏莱曼大人，我看您愁眉不展，是不是有什么难办的事情？如果可以的话，我愿意帮助您解决这些事情。,13,嗯……你不是要去找寻科托吗？如果留下来帮助我，可能会让你失去追寻的目标。,-1,没关系的，如果有什么需要我做的，我非常愿意帮助您的。,13,那真是太感谢你了，在巴尔克斯坦附近，有一个毒龙祭坛，那里是一个邪教的根据地，我希望你能够去那里探探。,-1,交给我好了，我会去毒龙祭坛一探究竟。,,,,,,,,,,,
206,13,如果能够解决巴尔克斯坦的困扰，那么这里居民都会感激你的。,,,,,,,,,,,,,,,,,,,
207,-1,我去过毒龙祭坛了，那里的人都跟疯子一样，见人就杀，同时他们还雇佣了很多红帽子。,13,嗯，这样的邪教都是非常会蛊惑人心的，那些异教徒已经失去最基本的人性了。,,,,,,,,,,,,,,,,,
208,13,据我的斥候回报，邪教那边召集了很多红帽子，想必他们会有一个邪恶的计划。,-1,红帽子是很残忍的群体，我一定要去阻止他们的阴谋。,13,嗯，交给你了，巴尔克斯坦真的很需要你的帮助。,,,,,,,,,,,,,,,
209,-1,红帽子果然非常不好对付。,13,邪教真是可怕，竟然找来了这么可怕的帮手。,,,,,,,,,,,,,,,,,
210,13,这群异教徒，会听从一群异教长老，异教长老是真正的蛊惑者，所以如果要铲除这个邪教，就要先对付这些异教长老。,-1,那就射人先射马，擒贼先擒王吧。,,,,,,,,,,,,,,,,,
211,-1,这个邪教的长老可真多，实在是不好对付。,13,嗯，我们的士兵都在与奥梅亚斯作战，如果不是你在，我真是不知该怎么面对这群邪教的人。,,,,,,,,,,,,,,,,,
212,13,真是难办，邪教那群人，竟然从异界召唤出了恶魔。,-1,恶魔？他们召唤出了怎样的恶魔？,13,惰魔，一个非常不好对付的恶魔种族，我现在应该召集士兵，前去战斗了。,-1,不用了，士兵们不是正忙着战事呢吗，这边就交给我好了。,,,,,,,,,,,,,
213,-1,惰魔，真是太可怕了。,13,不过你还是赢了……真是强大的力量。,,,,,,,,,,,,,,,,,
214,13,你知道这个邪教，是靠什么来传播力量的吗？,-1,这个我就不清楚了，是黑暗的法术吗？,13,不，他们是靠异教之火来传播邪恶的力量，而异教之火，恐怕是异界恶魔给予这个邪教的可怕力量。,-1,那我们该如何是好呢？总不能任由他们发展下去。,13,关键所在，就是异教之火，去夺取他们的火种吧。,,,,,,,,,,,
215,-1,我已经夺取了很多异教之火的火种。,13,很好，接下来，我会找一些牧师来净化这些邪恶的火种。,,,,,,,,,,,,,,,,,
216,13,据说，邪教在毒龙祭坛中藏了很多财宝，那些财宝应该属于巴尔克斯坦人民。,-1,确实，那都是邪教通过邪恶手段获取的。,13,所以我希望你能够帮助我们找到那些财宝，我会将财宝用在巴尔克斯坦人民身上。,,,,,,,,,,,,,,,
217,-1,苏莱曼大人，这里是全部的邪教财宝了。,13,很好！这些财宝可以帮助巴尔克斯坦人民很多了。,,,,,,,,,,,,,,,,,
218,13,邪教已经破灭了，巴尔克斯坦现在应该要专心与奥梅亚斯的战事了，多谢你了，要不是有你在，我真不知道该如何是好。,-1,您太客气了，苏莱曼大人，我很高兴能够为巴尔克斯坦做出一些贡献。,13,嗯，在巴尔克斯坦不远，有一处王者墓穴，只要穿过那里，就可以到达大沙漠地带，从那里的贸易通道，直通奥梅亚斯。,-1,多谢您的指引，我现在就前往奥梅亚斯。,13,嗯，不过要小心，那里的八脚怪非常的恐怖，如果有什么问题，就快点回来吧。,,,,,,,,,,,
219,-1,八脚怪，好恶心的生物！,13,你没事就好，在王者墓穴，一定要注意这些恐怖的生物。,,,,,,,,,,,,,,,,,
220,13,在王者墓穴，你一定要注意沉睡中的木乃伊，木乃伊这种不死生物非常不好对付。,-1,如果将他们惊醒，要怎么办呢？,13,……那就拼死战斗吧，因为是不可能逃开的。,,,,,,,,,,,,,,,
221,-1,还真让我遇到木乃伊了，果真不好对付。,13,遇到了木乃伊，你竟然还能活着回来，真是了不得。,,,,,,,,,,,,,,,,,
222,13,你知道，在王者墓穴中，最恐怖的生物是什么吗？,-1,不是那些木乃伊吗？,13,木乃伊只要不去打扰他们，他们就会沉睡，而真正可怕的，是食尸鬼。,-1,我听过这种不死生物，看来我有必要清除掉这些邪恶的家伙了。,,,,,,,,,,,,,
223,-1,食尸鬼果然很可怕呀，不过我干掉了不少食尸鬼。,13,嗯，你这样也算是为了巴尔克斯坦做出贡献了。,,,,,,,,,,,,,,,,,
224,13,传闻在王者墓穴中，沉睡着曾经的巴尔克斯坦帝王克佳苏尔德。,-1,我听过他的传说，据说他是开创巴尔克斯坦辉煌时代的英雄。,13,没错，不过据说他死后，化身成了不死生物，现在有一群骷髅战士护卫着他。,-1,希望别让我遇到这些可怕的家伙。,,,,,,,,,,,,,
225,-1,可恶，真是倒霉，还是让我遇到那些骷髅战士了。,13,遇到骷髅战士了吗？这样的话，我怕也会惊动到克佳苏尔德……,,,,,,,,,,,,,,,,,
226,13,……看来我们真的惊醒了克佳苏尔德，如今的他，已经成为了一个巫妖。,-1,他会对我们造成威胁吗？,13,苏醒的克佳苏尔德，是想要征服整个巴尔克斯坦。,-1,这个曾经的英雄，成为不死生物以后，也变得邪恶了吗？那么就让我面对他吧！,,,,,,,,,,,,,
227,-1,克佳苏尔德……已经再次沉睡了……,13,他是巴尔克斯坦历史上最伟大的人物，实在是可惜……,,,,,,,,,,,,,,,,,
228,13,你现在可以顺利通过王者墓穴了，到了绝望沙漠那边，切记要小心狂暴刺球。,-1,我会注意的，您放心吧。,,,,,,,,,,,,,,,,,
229,-1,狂暴刺球果然是非常凶暴呀。,13,所以它们才会叫狂暴刺球嘛。,,,,,,,,,,,,,,,,,
230,14,狂暴刺球十分可怕，真怕它们会对巴尔克斯坦的人造成威胁。,-1,这个好办，带刺的东西，把刺拔掉就好了！,,,,,,,,,,,,,,,,,
231,-1,没刺的仙人掌，已经构不成什么威胁了。,14,你真是为这里的人做出了贡献。,,,,,,,,,,,,,,,,,
232,13,你已经可以安全通过王者墓穴了，在那边，你可以找到我们的斥候克拉克，他会帮助你的。,-1,我知道了，多谢苏莱曼大人您的帮助了。,,,,,,,,,,,,,,,,,
233,-1,克拉克吗？,14,嘿嘿！您一定就是伟大的#name#！我听过很多您的传说了！以后请多多关照！,,,,,,,,,,,,,,,,,
234,14,这附近有一个哥布林部落，他们对巴尔克斯坦造成了很多威胁。,-1,嗯，我不能放任他们猖狂下去，我去解决掉他们吧。,,,,,,,,,,,,,,,,,
235,14,事情办得怎么样？您难道打算直接去奥梅亚斯了吗？,,,,,,,,,,,,,,,,,,,
236,-1,哥布林这样的生物，永远也学不乖。,14,这些家伙见到您，真是一点办法都没有哈！,,,,,,,,,,,,,,,,,
237,14,哥布林部落这群可恶的家伙，他们用来做装饰的饰品，那些制作材料都是从我们这里抢夺的！,-1,竟然这么可恶，那么就让我去夺取他们的饰物吧！,,,,,,,,,,,,,,,,,
238,-1,这些夺回来的饰品，你拿去吧，换成金币，还给那些无辜的居民吧。,14,这个自然！您真是太了不起了！太伟大了！,,,,,,,,,,,,,,,,,
239,14,在绝望沙漠中，有一种幽灵和一种小蝙蝠，十分可怕，那堪称旅人的噩梦！,-1,幽灵？它们会主动伤害人吗？那小蝙蝠又是怎么回事？,14,嗯！有很多人旅人都因为它们而惨死在绝望沙漠之中。,-1,那样的话，就不能放任下去，我去调查这些幽灵和小蝙蝠看看。,,,,,,,,,,,,,
240,-1,真是群可怕的幽灵，这简直就是大漠的凶灵，当然小蝙蝠也很可怕。,14,不过幸好巴尔克斯坦还有您的存在，您拯救了过往的旅人。,,,,,,,,,,,,,,,,,
241,14,在沙漠中，最珍贵的宝藏你知道是什么吗？,-1,金银珠宝？或者矿石？,14,是沙海果啦！一种非常珍贵的草药，这片沙漠叫做死亡沙漠，在这里要是病倒了，可是很难有药草医治的。,-1,原来如此，那么我就去找找这种药草。,,,,,,,,,,,,,
242,-1,沙海果还真不好找。,14,不过你已经找到这么多了，真是了不起。,,,,,,,,,,,,,,,,,
243,14,在这附近，有一个传说中的蝎子王，名叫阿克苏，他是沙漠中永恒的霸主。,-1,我听过蝎子王的传说，他会对巴尔克斯坦造成什么影响吗？,14,蝎子王一直想征服这片沙漠，我们一直很担心这个。,-1,既然如此，就让我去会一会他吧。,14,那请一定要小心，还有，等与他对决后，您可以在绝望沙漠北边找到火焰石像公告，以后可以在那里接受一些委托。,-1,好的，在那里接受你们的委托，会省很多力气。,,,,,,,,,
244,-1,这个就是火焰石像公告吗？,15,……,,,,,,,,,,,,,,,,,
245,-1,让我看看这个石像公告上的委托，这是什么？赤色大熊和杀人蜂侵袭附近村落？就去看看这个吧！,15,……,,,,,,,,,,,,,,,,,
246,15,……,,,,,,,,,,,,,,,,,,,
247,-1,轻轻松松就搞定！看了我很适合做石像公告的工作嘛！,15,……,,,,,,,,,,,,,,,,,
248,-1,这次又会有什么委托呢，蜂灾吗？我怎么感觉自己总会跟蜜蜂打交道，不对，这次是杀人蜂！,15,……,,,,,,,,,,,,,,,,,
249,-1,蜂类生物，还真是够烦人的。,15,……,,,,,,,,,,,,,,,,,
250,-1,看看这次委托……血骷髅吗……一直听过这种不死生物的传闻，想不到真有机会遇到……,15,……,,,,,,,,,,,,,,,,,
251,-1,真是恐怖的不死生物……太难对付了，传闻果然都是真的。,15,……,,,,,,,,,,,,,,,,,
252,-1,这次委托竟然跟可怕的血骷髅有关！郁闷！血骷髅的血骨是非常珍贵炼金素材……好吧……,15,……,,,,,,,,,,,,,,,,,
253,-1,这些应该够了吧！我再也不想面对血骷髅了！,15,……,,,,,,,,,,,,,,,,,
254,-1,这个委托……什么？！巨型死亡蠕虫！这个沙漠中怎么什么样的怪物都有！真是让人绝望啊！,15,……,-1,哎，不过这边的火焰石像公告已经没什么新鲜内容了，等等解决完巨型死亡蠕虫后，去绝望沙漠东边的寒冰石像公告那里看看吧。,,,,,,,,,,,,,,,
255,-1,真可怕，那个大怪物，绝望沙漠真是绝望啊！以后我还是在寒冰石像公告这边混了！,16,……,,,,,,,,,,,,,,,,,
256,-1,我看一下这边的委托……需要对付螳螂吗？听起来挺简单的。,16,……,,,,,,,,,,,,,,,,,
257,16,……,16,……,,,,,,,,,,,,,,,,,
258,-1,天哪，螳螂这种生物，还真不容易对付啊！,16,……,,,,,,,,,,,,,,,,,
259,-1,这次的委托好有趣哦，要对付号称喵星人的猫人，听说猫人都是个性高傲的家伙，这次让我见识一下。,16,……,,,,,,,,,,,,,,,,,
260,-1,猫人真是如同传闻的一样难以相处啊，怪不得有人想赶走他们！,16,……,,,,,,,,,,,,,,,,,
261,-1,这次委托竟然还是关于喵星人的，我真不想跟他们打交道了，而且内容竟然是夺取他们的鱼骨……,16,……,,,,,,,,,,,,,,,,,
262,-1,令人厌恶的委托，希望委托人别都这么脑残！,16,……,,,,,,,,,,,,,,,,,
263,-1,这次委托的内容是噩梦耗子，这究竟是什么生物？从没有听说过呀……,16,……,,,,,,,,,,,,,,,,,
264,-1,噩梦耗子，如同恶梦一样的生物，我总算见识到了！,16,……,,,,,,,,,,,,,,,,,
265,-1,委托击败绝望沙漠中恐怖的魔鬼沙漠吞噬花吗？看起来很难对付。,16,……,-1,等完成这个委托，我应该去赤土石像公告那里看看了。,,,,,,,,,,,,,,,
266,-1,真是恐怖的巨型生物啊！太难对付了，这样的委托还是少来点吧！,17,……,,,,,,,,,,,,,,,,,
267,-1,来看看新的委托吧，寻找宝石？这个委托不错嘛。去寻找恐怖箱里边的宝石吧！,17,……,,,,,,,,,,,,,,,,,
268,17,……,,,,,,,,,,,,,,,,,,,
269,-1,恐怖箱里边竟然真的产宝石，看来可以靠这个发家致富了。,17,……,,,,,,,,,,,,,,,,,
270,-1,这次委托还是跟恐怖箱有关呀，去清楚一些经常吓人一跳的恐怖箱……话说都知道是恐怖箱了，还会吓到人吗？,17,……,,,,,,,,,,,,,,,,,
271,-1,恐怖箱这样的生物，其实挺有意思的，只是喜欢恶作剧罢了。,17,……,,,,,,,,,,,,,,,,,
272,-1,这次委托内容叫石与贼头？目标是石怪和盗贼吗？我去看看！,17,……,,,,,,,,,,,,,,,,,
273,-1,石怪看起来都挺憨厚的嘛，盗贼倒是真讨人厌。,17,……,,,,,,,,,,,,,,,,,
274,-1,这次的委托是我喜欢的类型，消灭危害沙漠周边村落的盗贼，我就喜欢做这种事！,17,……,,,,,,,,,,,,,,,,,
275,-1,一群乌合之众，被我杀的丢盔弃甲呀！,17,……,,,,,,,,,,,,,,,,,
276,-1,这次委托是消灭恶名昭彰的沙漠恶匪巴托吗？巴托这个家伙的恶名我早就听说了，是时候结束他的罪恶了。,17,……,,,,,,,,,,,,,,,,,
277,-1,想不到这个叫做巴托的家伙，还真有两下子。,17,……,,,,,,,,,,,,,,,,,
278,-1,这边的委托算是做完了，沙漠绿洲那里有一些可疑的人，我去会一会他们吧！,17,……,,,,,,,,,,,,,,,,,
279,18,你就是来自聂拉维尔的#name#吗？你的名声现在在巴尔克斯坦大得很呢。,-1,你们是什么人？奥梅亚斯人吗？想要我的命？,18,确实是奥梅亚斯人，我就是奥梅亚斯的雪貂贾希拉，不过我并不想与你为敌，我知道你的力量远超于我们，我可不想寻死。,-1,那你想如何？如果是想让我做对不起苏莱曼大人的事情，那还是算了。,18,沙漠之狐苏莱曼，是值得尊敬的人，我是希望你帮我们两邦达成和平共识。,-1,和平……确实应该如此。,,,,,,,,,
280,18,想要从巴尔克斯坦通往奥梅亚斯，就需要穿过贸易通道，不过现在贸易通道已经被很多怪物占据了。,-1,那我就需要清理一下怪物喽？,18,很聪明嘛，你首先要注意的就是食人魔部落，这边的食人魔非常可怕，要小心了。,-1,看来贸易通道是必须要经过的了，毕竟除了让战事停止，我还要去那边追寻科托。,,,,,,,,,,,,,
281,18,怎么样？事情办得如何？不解决贸易通道的麻烦，你是到不了奥梅亚斯的。,,,,,,,,,,,,,,,,,,,
282,-1,食人魔真是该死，所以杀多少都不过瘾。,18,残忍的食人魔，死不足惜。,,,,,,,,,,,,,,,,,
283,18,在巴尔克斯坦，最可怕的生物当属蜥蜴人，蜥蜴人的智慧堪比人类，而且力量强大。,-1,嗯，以前跟蜥蜴人打过交道，他们十分狡诈，如果要面对他们，我得小心点。,,,,,,,,,,,,,,,,,
284,-1,蜥蜴人的果然比食人魔要难对付的多，以后要是在对付这样的家伙，真是要小心。,18,在巴尔克斯坦，永远也不要对这些蜥蜴人大意。,,,,,,,,,,,,,,,,,
285,18,原来狂飙族的哥布林就扎住在贸易通道……这一族的哥布林都十分凶残，远胜普通哥布林。,-1,我听说狂飙族地精在巴尔克斯坦造成了多起杀戮，也是时候结束他们的罪恶了。,,,,,,,,,,,,,,,,,
286,-1,狂飙族地精果然比一般的哥布林强大很多。,18,贸易通道中真是扎住了不少可怕的家伙呢。,,,,,,,,,,,,,,,,,
287,18,这附近蜥蜴人部落的领袖叫做莫洛，这是一个喜欢征战的蜥蜴人，他总是会发动可怕的战争。,-1,如此一个人领导着这支蜥蜴人部落，那对巴尔克斯坦来说，真是个威胁，我必须了结他。,,,,,,,,,,,,,,,,,
288,-1,莫洛这个蜥蜴人领袖，虽然喜欢战争，但却也是个汉子。,18,身为一个部族领袖，必然有他的魅力所在。,,,,,,,,,,,,,,,,,
289,18,我们奥梅亚斯这边，有一个法师，她想要一些这边树精的种子，不知道你能否帮我们弄点过来。,-1,可以是可以，不过你们要种子做什么？,18,我们的法师希望研究树精的种子，看看他们是如何在沙漠生存的。,,,,,,,,,,,,,,,
290,-1,这些种子够了吧？,18,嗯，可以了，这些我想足够了。,,,,,,,,,,,,,,,,,
291,18,上次你帮助我们夺取了种子，却惹怒了贸易通道内的树精与软泥怪，你说咱们该怎么办？,-1,能怎么办，那只能教训一下这些家伙了！,,,,,,,,,,,,,,,,,
292,-1,小小的树精，小小的软泥怪，竟然还敢跟我这里逞威风。,18,这下那些树精和软泥怪总算老实一点了。,,,,,,,,,,,,,,,,,
293,18,在贸易通道之中，有棵千年古树，他的木质是全巴尔克斯坦最了不起的，我们奥梅亚斯需要这种木材。,-1,你们不会是要这种木材来制造兵器吧？,18,当然不是！我可没有那么好战！你放心好了，是用在良善的地方，所以还请你多费心帮我采集一些古木。,,,,,,,,,,,,,,,
294,-1,这些古木足够了吧，我可不想把千年古树伐秃了。,18,足够了，这些完全够了。,,,,,,,,,,,,,,,,,
295,18,在贸易通道，有一批毒蘑菇，它们随时都在散发着毒气，对周围环境造成了极大的威胁。,-1,那么就必须阻止它们蔓延了，不然以毒蘑菇的毒素，必然会造成大量人员死亡。,18,但是你要小心，一般毒蘑菇身边总是伴随着危险的刺球，千万不要被刺到。,,,,,,,,,,,,,,,
296,-1,成功阻止它们了，这下它们就不会跑到巴尔克斯坦造成危害了。,18,毒蘑菇的毒性太大，真是十分可怕，你又做了一件大好事。,,,,,,,,,,,,,,,,,
297,18,有种堪比仙人掌一样讨厌的生物，叫做刺球，它们在贸易通道内绝对是个危害。,-1,既然如此，那就去清除这个危害吧。,,,,,,,,,,,,,,,,,
298,-1,刺球感觉比仙人掌还要讨人厌！,18,所以说，它们会是个危害。,,,,,,,,,,,,,,,,,
299,18,要小心了，据我们的斥候回报，在贸易通道中发现了巴尔克斯坦最可怕的生物，沙漠巨蜥的踪迹！,-1,真的吗？可恶，我也要去探一探状况，不能让它袭击巴尔克斯坦附近的村落。,,,,,,,,,,,,,,,,,
300,-1,沙漠巨蜥，真是可怕的巨兽！,18,这么可怕的生物，竟也敌不过你，幸好我没有冒然与你为敌。,,,,,,,,,,,,,,,,,
301,18,哎！想要奥梅亚斯和巴尔克斯坦之间的和平，还真是不容易呢！,-1,为什么要这样说？遇到什么困难了吗？,18,我们的军需官啊！就是我们的军需官纳威！他是一个奥梅亚斯至上的人，他非常反对与巴尔克斯坦进行和平交涉。,-1,这样的人最难搞了，我知道你的意思了，我去看看纳威怎么说吧。,,,,,,,,,,,,,
302,-1,是贾希拉让我来的。,19,你不是巴尔克斯坦人吧？我可不和巴尔克斯坦人交流！,-1,放心，我是聂拉维尔人，其实贾希拉说的双方和平相处，对两边来说，都是利好的。,19,我不信任你！若想要说服我，就想获得我的信任吧！,,,,,,,,,,,,,
303,19,我真搞不懂！贾希拉大人为什么要主张和巴尔克斯坦的垃圾和平共处！,-1,和平对于双方人民来说，是最好的结果。,19,可恶，巴尔克斯坦人都很坏的！在贸易通道，有一个熊猫团，非常邪恶，想必是受了巴尔克斯坦人的支持！,-1,这不可能，我去看看这个熊猫团，了解一下情况吧。,,,,,,,,,,,,,
304,19,巴尔克斯坦这个破地方，真是让人觉得煎熬，我都没心情工作了！,,,,,,,,,,,,,,,,,,,
305,-1,我跟熊猫团交手了，他们不可能和巴尔克斯坦人有交际。,19,这个可说不准！,,,,,,,,,,,,,,,,,
306,19,贸易通道竟然有鸟人存在！这种生物并不属于沙漠地区！他们肯定是巴尔克斯坦人招来侵略奥梅亚斯的！,-1,……我听说，鸟人抓了不少巴尔克斯坦人做奴隶，怎么可能是他们招来的，我去看看吧。,,,,,,,,,,,,,,,,,
307,-1,鸟人还真不好对付，不过肯定的是，他们绝对不是巴尔克斯坦人招来的。,19,太信任巴尔克斯坦人，你最终会吃亏的！,,,,,,,,,,,,,,,,,
308,19,鸟人这种生物，他们的羽毛，可是非常值钱的饰品素材，帮我搞点来吧。,-1,没问题，既然你需要的话。,,,,,,,,,,,,,,,,,
309,-1,这些羽毛够了吗？,19,哈哈哈！不错！够我赚一笔的了！,,,,,,,,,,,,,,,,,
310,19,在贸易通道中，竟然有可怕的巨人！巴尔克斯坦人再愚蠢，也不会招来巨人的吧？,-1,那是肯定的！巨人如果在这里，那么整个巴尔克斯坦都会有大灾难，我必须去阻止巨人！,,,,,,,,,,,,,,,,,
311,-1,巨人，真是可怕的对手，太可怕了……,19,你太厉害……我不得不承认，你赢得了我的信任……,,,,,,,,,,,,,,,,,
312,19,据说，在贸易通道，沉睡着可怕的石魔像克鲁特，最近听闻，他正在苏醒中……,-1,传闻中可怕的石魔像克鲁特吗？如果他苏醒了，那么会在造成很大的威胁，我必须去阻止他。,,,,,,,,,,,,,,,,,
313,-1,果然如同传说的一般难对付啊！,19,你已经超越传说了……,,,,,,,,,,,,,,,,,
314,19,现在贸易通道如此多怪物存在，严重影响了奥梅亚斯和巴尔克斯坦人，真应该结束战事了。,-1,你能这么想真是太好了，我现在就去见苏莱曼大人，提出两邦同盟的建议。,,,,,,,,,,,,,,,,,
315,-1,苏莱曼大人，我见到了奥梅亚斯的雪貂贾希拉，她表示很有诚意与巴尔克斯坦同盟。,13,嗯，我的斥候也回报我了，十分感谢你为了巴尔克斯坦与奥梅亚斯做出的贡献。,,,,,,,,,,,,,,,,,
316,13,在绝望沙漠，有个可怕的沙巨龙奥马尔吉特，他拥有征服整个巴尔克斯坦的可怕力量。,-1,看来这个巨龙会成为阻碍巴尔克斯坦与奥梅亚斯同盟的障碍，那么就让我去清除这个障碍吧！,,,,,,,,,,,,,,,,,
317,-1,巨龙，果然都是可怕的生物！,13,但是巨龙也阻挡不了你的前行。,,,,,,,,,,,,,,,,,
318,13,我有个请求，希望你能够前往奥梅亚斯，向奥梅亚斯的冰雪女王玛利亚递交我的同盟申请。,-1,交给我吧，正好我也要去奥梅亚斯继续找寻科托。,13,你真是巴尔克斯坦的大恩人！,,,,,,,,,,,,,,,
319,-1,苏莱曼大人让我去奥梅亚斯找冰雪女王玛利亚递交同盟申请。,18,太好了！终于可以结束这该死的战争了！不过要去奥梅亚斯，在贸易通道还有不少阻碍哦。,,,,,,,,,,,,,,,,,
320,18,现在贸易通道已经被蜥蜴人大军占据了，要想通过，只能击败他们。,-1,为了让贸易通道通畅，就让我来到对付这群蜥蜴人吧。,,,,,,,,,,,,,,,,,
321,-1,蜥蜴人斗士真是很强悍，不愧是以善战著称的家伙。,18,蜥蜴人真的很强，一定要小心。,,,,,,,,,,,,,,,,,
322,18,要注意，蜥蜴人派出了蜥蜴人武士，他们都是真正为杀戮而生的战士！,-1,我会小心的，蜥蜴人很强，我绝对不会掉以轻心。,,,,,,,,,,,,,,,,,
323,-1,太可怕了，蜥蜴人武士，真不喜欢与蜥蜴人做对手。,18,嗯，蜥蜴人非常强大，我们都不希望与他们为敌。,,,,,,,,,,,,,,,,,
324,18,蜥蜴人的迅猛捕食者，猎豹蜥蜴出动了，这种怪物，咱们怎么匹敌？,-1,蜥蜴人可怕的玩意还真多……不管怎么样，拼死一战吧！,,,,,,,,,,,,,,,,,
325,-1,这群猎豹蜥蜴的速度还真是快啊，太难对付了。,18,好在你的速度也不慢，这真是场速度的比拼。,,,,,,,,,,,,,,,,,
326,18,地龙蜥是伪龙生物，虽然是伪龙，但也非常可怕，一定要小心。,-1,我连龙都屠过了，伪龙自然不会放在心上。,,,,,,,,,,,,,,,,,
327,-1,我倒要看看，蜥蜴人还有什么花样。,18,太强大了……,,,,,,,,,,,,,,,,,
328,18,地龙蜥的龙筋是非常好的药材，奥梅亚斯那边现在很需要这个药材。,-1,那我就帮你们收集点龙筋吧。,,,,,,,,,,,,,,,,,
329,-1,这些应该足够了。,18,嗯！够了，我会派人把这些龙筋运送到奥梅亚斯的。,,,,,,,,,,,,,,,,,
330,18,终于要面对蜥蜴人的王者，康诺了，这是一个非常厉害的蜥蜴人，你一定要小心。,-1,总算可以结束这一切了。,18,过了贸易通道，你可以找到我的丈夫，雪斧卡立德，他是奥梅亚斯的将军，他会给予你帮助。,-1,好的，我到了奥梅亚斯，就会找他帮助。,,,,,,,,,,,,,
331,-1,你就是卡立德将军吧，你的妻子贾希拉让我来寻求你的帮助。,20,你就是#name#吧，你的大名如雷贯耳，今天总算见到了。,,,,,,,,,,,,,,,,,
332,20,贾希拉已经跟我说过你来到这里的原因了，我们奥梅亚斯也很乐意与巴尔克斯坦同盟。,-1,那就太好了，想必苏莱曼大人会为这个结果感到开心的。,20,不过现在奥梅亚斯出现了很大的问题，我们的领主，冰雪女王玛利亚大人被黑暗军团所挟持了。,-1,黑暗军团？就是那个黑暗魔君巴里克领导的邪恶军团吗？,20,正是！现在整个雪堡都落入了他的手中，而且他还是一切战争的罪魁祸首！我一定要想办法解救玛利亚女王殿下！,-1,我会全力帮助你们的，我先去十字雪岭侦查一下吧，那里隐藏着很多危机。,,,,,,,,,
333,20,奥梅亚斯的未来，还多需要你的帮助呢！,,,,,,,,,,,,,,,,,,,
334,-1,十字雪岭那边果然是危机重重，看来咱们会在这边耽搁不少时间。,20,哎！真希望玛利亚女王没有事。,,,,,,,,,,,,,,,,,
335,20,我们要想救出玛利亚女王，就必须先让十字雪岭这片区域安稳下来。,-1,这个自然，我会好好探查这片区域的，对了，我还有一事想问你。,20,你都肯尽心帮助我们拯救奥梅亚斯，想问什么就直接问吧。,-1,嗯，不过我还是先去探查一下十字雪岭，等回来再问吧。,,,,,,,,,,,,,
336,-1,十字雪岭中的冰怪，还真是不好对付。,20,那种生物经常对附近居民造成伤害，确实可怕。,,,,,,,,,,,,,,,,,
337,20,感谢你帮了我们那么多，你上次说有事情要问我，请问是什么事情？,-1,我想问一下，你知道死灵法师科托吗？我一直在追寻他的踪迹。,20,是科托大人啊！他是玛利亚女王的贵宾，现在应该也被黑暗军团拘禁在了雪堡之中！,-1,原来如此，那么我就更需要帮助你们夺回雪堡了，接下来我该做什么呢？,20,你可以先去十字雪岭北边看看，听说那里聚集了一群山贼，他们会对奥梅亚斯居民造成伤害的。,,,,,,,,,,,
338,-1,我真佩服这寒冷天气下的山贼，他们也挺有意志力的。,20,可惜他们没把这种意志力用到正确的地方。,,,,,,,,,,,,,,,,,
339,20,奥梅亚斯最近很多人受了严重的风寒，而这边又缺少药剂了！,-1,那该怎么办？有什么地方可以取得这些药剂吗？,20,没有办法直接取得药剂，不过在十字雪岭北部，有一种奇特的生物叫做冰雪臭臭花，它们的臭袋可以做药引。,-1,那就行，那么我去收集一些臭袋吧！,,,,,,,,,,,,,
340,-1,这些臭袋应该够了吧？够的话赶快交给药剂师，去治愈病人。,20,完全够了！我马上把这些拿给药剂师！,,,,,,,,,,,,,,,,,
341,20,有一个奇怪的生物一直在十字雪岭东边游荡，真不知道它有什么意图。,-1,什么样的生物？我去探查一下吧。,,,,,,,,,,,,,,,,,
342,-1,好家伙，真是个有意思的生物。,20,没有恶意的话，还好。,,,,,,,,,,,,,,,,,
343,20,黑暗军团的人，已经来到十字雪岭了，看来他们是想一口气收拾掉咱们呀。,-1,哼！他们还不够资格！让我去对付他们吧。,20,小心，这些黑暗军团的士兵都非常不好对付，他们还使用了生物兵器改造毒蜂。,,,,,,,,,,,,,,,
344,-1,已经抵御了他们的一波攻击了。,20,可不能大意，黑暗军团不是那么容易对付的。,,,,,,,,,,,,,,,,,
